"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Navy",203,150,0,0,0.75,0.75,0.671966449862876,0.328033550137124,1.00931274900398,0.505435208692262,0.523155875601972,0.472817492645483,53,0.628158834820169,32
"Nebraska",239,124,109,65,0.772976770331368,0.227023229668632,0.825656495858122,0.174343504141878,1.02003770631759,0.484210440921601,0.440331497605425,0.400611068011094,76,0.711185415773165,18
"Nevada",180,220,88,116,0.341926572661369,0.658073427338632,0.383294128633058,0.616705871366942,0.982557525002033,0.386549285417255,0.346607439978888,0.0683688997655762,123,0.364592936375988,113
"New Mexico",280,237,114,130,0.422805673460424,0.577194326539576,0.597521557208096,0.402478442791904,0.982557525002033,0.387949223527662,0.333498294825561,0.0731314736959071,122,0.500626621309232,77
"New Mexico State",181,291,85,160,0.182563007823909,0.817436992176091,0.245022449188166,0.754977550811834,0.975,0.460848716096654,0.465267457294618,0.321134739170707,91,0.310476515593059,123
"North Carolina",260,216,132,132,0.5,0.5,0.608117397379131,0.391882602620869,1.00947282299374,0.513141292970043,0.537734239560863,0.499033505920269,47,0.590194690839243,48
"North Carolina State",200,166,63,94,0.279210868085523,0.720789131914477,0.608640474702367,0.391359525297633,1.00947282299374,0.540616564808651,0.559767892404893,0.592504076093769,29,0.597960836979773,46
"North Texas",190,190,93,86,0.54623199180674,0.45376800819326,0.5,0.5,0.982247931351517,0.499196124346122,0.522149111650613,0.451592196873349,60,0.498375938709121,78
"Northern Illinois",235,268,133,110,0.610636610741318,0.389363389258682,0.422767810848577,0.577232189151423,0.984925005858917,0.509696991336495,0.576022801085299,0.487316029950298,50,0.466709479295934,88
"Northwestern",181,153,129,109,0.598510074644105,0.401489925355896,0.598279170134295,0.401720829865705,1.02003770631759,0.579785704537905,0.61565093612917,0.725757055180015,9,0.616173931221408,38
"Notre Dame",212,194,0,0,0.75,0.75,0.552378535488636,0.447621464511364,1.00931274900398,0.495142389066647,0.46721874146669,0.437801434396796,67,0.528871742875196,68
"Ohio",228,194,81,68,0.602193049448972,0.397806950551028,0.594530244509332,0.405469755490668,0.984925005858917,0.381421149044647,0.309830911817635,0.0509230366821907,125,0.492098540583524,82
"Ohio State",317,101,147,64,0.877694044093546,0.122305955906454,0.937658681479362,0.0623413185206381,1.02003770631759,0.534466294823479,0.48246626962211,0.571580925792951,34,0.801676069523634,5
"Oklahoma",307,257,201,162,0.625094610966654,0.374905389033345,0.603798793721634,0.396201206278366,1.0199203187251,0.585866546272446,0.638574124547598,0.746444011341942,7,0.627649346971663,33
"Oklahoma State",288,192,155,117,0.660733646673069,0.339266353326932,0.723312432175503,0.276687567824497,1.0199203187251,0.452988491783442,0.457037157013315,0.294394343204355,100,0.647194525191588,25
"Old Dominion",228,212,109,95,0.580738623828996,0.419261376171004,0.543003409744004,0.456996590255996,0.982247931351517,0.420726987179232,0.422062897548423,0.184641062227779,115,0.493766119964301,81
"Ole Miss",259,220,139,134,0.52169209897819,0.47830790102181,0.59550856784103,0.40449143215897,1.025,0.584880575718119,0.605753516446383,0.743089750447689,8,0.613896639477218,40
"Oregon",270,303,141,214,0.271148727443154,0.728851272556846,0.432100392062535,0.567899607937465,1.02160816194681,0.576049767904177,0.636390043977444,0.713047440172822,11,0.511005279244015,73
"Oregon State",168,226,84,151,0.199420943796699,0.800579056203301,0.331175484592595,0.668824515407405,1.02160816194681,0.579671356057381,0.64435678367121,0.725368042917064,10,0.444981101865756,95
"Penn State",207,192,101,110,0.44959607678112,0.55040392321888,0.544452201883767,0.455547798116233,1.02003770631759,0.643268535442618,0.726525932927743,0.941724942076527,2,0.617269132207338,35
"Pittsburgh",269,220,118,102,0.585486356896539,0.414513643103461,0.616937292947801,0.383062707052199,1.00947282299374,0.498225468669848,0.480236315629784,0.448290037024433,62,0.576782790229058,51
"Purdue",179,233,90,157,0.211025730041944,0.788974269958057,0.348677661223866,0.651322338776134,1.02003770631759,0.479312820017371,0.527704754540607,0.383949415995379,78,0.416535823677477,104
"Rice",179,259,90,146,0.241110878962315,0.758889121037685,0.294094932892689,0.705905067107311,0.982247931351517,0.501973968836186,0.571505288966972,0.461042393030271,56,0.379702722251291,110
"Rutgers",148,298,46,208,0.0272231992611371,0.972776800738863,0.159934101552368,0.840065898447632,1.02003770631759,0.592183992142418,0.669255411552088,0.76793589214935,5,0.336314461053036,116
"San Diego State",227,123,85,13,0.988457998903594,0.0115420010964057,0.810345179571146,0.189654820428854,0.982557525002033,0.366452541566448,0.33229369938084,0,128,0.639639727636971,28
"San Jose State",178,292,75,134,0.201743401607892,0.798256598392108,0.236298801825819,0.763701198174181,0.982557525002033,0.462518750193153,0.480665170090271,0.32681617665114,90,0.312211837214808,121
"SMU",177,212,98,104,0.464849701983333,0.535150298016667,0.394691307332438,0.605308692667562,0.995521759117377,0.553300801395238,0.602288488075445,0.635655708329773,23,0.461812954770955,90
"South Alabama",164,181,60,97,0.242601674358743,0.757398325641257,0.441826017795932,0.558173982204068,0.975,0.478525138202791,0.526170695573494,0.381269731195296,80,0.458192387628741,91
"South Carolina",118,149,64,106,0.232223617619297,0.767776382380703,0.365208034029413,0.634791965970587,1.025,0.494173564021079,0.468723254345678,0.434505502333247,68,0.409705935154872,106
"South Florida",339,227,155,115,0.669832677631669,0.330167322368331,0.721213451545649,0.278786548454351,0.995521759117377,0.464033061466704,0.427515153407838,0.331967846814421,89,0.620522668511195,34
"Southern Miss",251,207,110,90,0.616705871366942,0.383294128633058,0.612250007579652,0.387749992420348,0.982247931351517,0.456096116296425,0.433529750797022,0.30496644734294,97,0.542865435909947,64
"Stanford",119,142,76,119,0.256796746622597,0.743203253377403,0.396806939594235,0.603193060405765,1.02160816194681,0.639679392774991,0.713603217371763,0.929514718514489,3,0.513261762557235,72
"Syracuse",213,253,96,127,0.340017062749294,0.659982937250706,0.399422807737939,0.600577192262061,1.00947282299374,0.521734587585497,0.553069120911392,0.528267798927215,42,0.454907061795898,92
"TCU",251,214,121,129,0.462139657598583,0.537860342401417,0.593381060499788,0.406618939500212,1.0199203187251,0.470418271281739,0.444964873939473,0.353690259811626,87,0.554743838916862,60
"Temple",270,191,144,109,0.659252085651732,0.340747914348268,0.694315303572488,0.305684696427512,0.995521759117377,0.495926446980028,0.527809074836172,0.440468790725178,65,0.635952467816073,31
"Tennessee",213,209,120,153,0.359903629692956,0.640096370307044,0.511230674650925,0.488769325349075,1.025,0.660398237924223,0.74904246512351,1,1,0.605263803261998,43
"Texas",253,228,119,124,0.475633159767106,0.524366840232894,0.561335516171242,0.438664483828758,1.0199203187251,0.529059669521438,0.525795750593487,0.553187646459274,38,0.560434922219932,57
"Texas A&M",255,148,157,124,0.636275573011229,0.363724426988771,0.784045871851288,0.215954128148712,1.025,0.540217267781346,0.55331955259404,0.591145672033928,30,0.724815526234677,15
