Date,Visitor.Team,Visitor.Rushing.Yards,Visitor.Rushing.Attempts,Visitor.Passing.Yards,Visitor.Passing.Attempts,Visitor.Passing.Completions,Visitor.Penalties,Visitor.Penalty.Yards,Visitor.Fumbles.Lost,Visitor.Interceptions.Thrown,Visitor.1st.Downs,Visitor.3rd.Down.Attempts,Visitor.3rd.Down.Conversions,Visitor.4th.Down.Attempts,Visitor.4th.Down.conversions,Visitor.Time.of.Possession,Visitor.Score,Home.Team,Home.Rushing.Yards,Home.Rushing.Attempts,Home.Passing.Yards,Home.Passing.Attempts,Home.Passing.Completions,Home.Penalties,Home.Penalty.Yards,Home.Fumbles.Lost,Home.Interceptions.Thrown,Home.1st.Downs,Home.3rd.Down.Attempts,Home.3rd.Down.Conversions,Home.4th.Down.Attempts,Home.4th.Down.conversions,Home.Time.of.Possession,Home.Score
9/23/2006, West Virginia,153,42,216,24,17,5,45,0,3,10,10,3,1,1,2001,27, East Carolina,41,24,276,47,22,7,85,1,2,4,15,6,3,2,1599,10
9/23/2006, Wisconsin,12,27,236,43,22,6,40,1,0,1,18,4,1,0,1725,13, Michigan,111,39,211,25,18,3,30,0,3,5,13,2,1,0,1875,27
9/26/2006, Southern Mississippi,89,29,184,31,15,4,21,0,0,5,14,3,0,0,1692,19, UCF,134,39,191,31,18,3,25,1,1,8,16,6,2,1,1908,14
9/28/2006, Auburn,127,35,180,19,13,8,50,1,0,7,10,4,3,3,1780,24, South Carolina,109,34,240,35,21,5,31,1,1,11,13,6,4,3,1820,17
9/28/2006, BYU,72,34,321,37,23,6,57,0,0,4,17,9,1,1,1896,31, TCU,141,32,296,50,26,8,43,1,1,11,17,8,0,0,1704,17
9/29/2006, Rutgers,226,45,100,20,11,11,91,0,1,9,13,6,0,0,2236,22, South Florida,92,25,255,26,17,7,56,1,2,6,9,4,0,0,1364,20
9/30/2006, Akron,73,23,261,38,19,10,90,2,0,7,13,2,6,3,1437,15, Kent State,156,55,305,21,17,6,53,1,0,8,16,8,1,1,2163,37
9/30/2006, Alabama,83,30,240,40,21,5,26,0,3,10,15,8,1,0,1777,13, Florida,133,33,197,21,15,9,53,2,0,5,11,4,0,0,1823,28
9/30/2006, Arkansas State,222,47,108,22,10,8,90,0,1,12,12,5,1,1,2157,31, Florida International,9,19,177,35,18,12,121,1,3,2,10,2,3,0,1443,6
9/30/2006, Boise State,188,42,210,22,15,5,35,1,2,9,12,6,0,0,1940,36, Utah,127,29,51,27,8,5,34,0,4,5,16,4,1,0,1660,3
9/30/2006, Bowling Green,148,44,108,19,10,5,45,1,0,9,14,5,3,2,1773,21, Ohio,54,32,188,34,20,3,27,1,2,7,13,3,0,0,1827,9
