"Team","CONF.W","CONF.L","OVERALL.W","OVERALL.L","Score","Rank","Games"
"Texas A&M",4,0,6,0,2637.61585803799,1,6
"Texas State",0,1,2,3,1673.48811164575,66,5
"Texas Tech",1,1,3,2,1780.92001662288,58,5
"Toledo",1,0,4,1,1732.86090302562,61,5
"Towson",0,0,0,1,1104.35370151727,155,1
"Troy",2,0,4,1,2019.10566993712,35,5
"Tulane",0,0,3,2,1528.99576346441,86,5
"Tulsa",1,0,4,1,1938.78899013923,39,5
"UC Davis",0,0,0,2,1092.33307241646,158,2
"UCF",1,0,3,2,1633.73611981353,73,5
"UCLA",2,2,4,3,1860.56812116566,43,7
"UNH",0,0,0,1,1129.91237596479,150,1
"UNLV",1,1,2,4,1206.67298450305,120,6
"URI",0,0,0,1,629.963487134241,204,1
"USC",2,2,3,3,1823.20818838514,46,6
"UT Martin",0,0,0,2,838.349034090372,187,2
"Utah",2,1,5,1,2023.05587165551,33,6
"Utah State",0,3,2,4,1453.63552962467,98,6
"UTEP",0,3,1,5,885.96153379146,184,6
"UTSA",1,1,2,3,1262.25895055324,110,5
"Vamderbilt",0,0,0,1,1175.50064971199,133,1
"Vanderbilt",0,2,2,3,1348.42028435002,105,5
"Villanova",0,0,0,1,1168.27176030766,137,1
"Virginia",1,0,2,3,1238.7476620444,115,5
"Virginia Tech",2,0,4,1,2137.79160531091,26,5
"VMI",0,0,0,1,1027.84395679737,166,1
"W Carolina",0,0,0,1,1037.43929377822,165,1
"W Illinois",0,0,1,0,1781.73219434567,57,1
"Wagner",0,0,0,1,975.676130383721,176,1
"Wake Forest",2,1,5,1,2098.13056766338,28,6
"Washington",3,0,6,0,2367.01032637512,9,6
"Washington State",2,0,3,2,1655.42736806235,68,5
"Weber State",0,0,0,1,1021.4483593321,167,1
"West Virginia",1,0,4,0,2537.10883331305,5,4
"Western Kentucky",1,1,2,3,1219.4924378553,118,5
"Western Michigan",2,0,6,0,2325.98526714776,11,6
"William & Mary",0,0,0,1,1132.43591613718,149,1
"Wisconsin",1,1,4,1,2193.80583650839,18,5
"Wofford",0,0,0,1,1165.21359828914,140,1
"Wyoming",2,0,4,2,1712.93732212851,62,6
"Youngstown St",0,0,0,1,1196.43674028535,122,1
