"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Wins.Over","Rank"
"Georgia State",2.0373569908523,5,0.407471398170461,58,96,140,0.290246466403799,0.709753533596201,-0.586124658833308,94
"Georgia Tech",2.50654797484395,6,0.417757995807325,63,152,129,0.596003767532996,0.403996232467004,1.06947463035403,35
"Hawaii",4.42232050357355,7,0.631760071939079,170,213,248,0.410823117965053,0.589176882034947,-1.54655867781818,113
"Houston",3.59373202023108,6,0.598955336705181,156,261,102,0.902624131374488,0.0973758686255121,1.82201276801584,13
"Idaho",2.40466942048673,6,0.400778236747789,57,120,227,0.18082380201875,0.81917619798125,-1.31972660837424,111
"Illinois",2.35828132032978,5,0.471656264065956,87,132,150,0.42483280266477,0.57516719733523,-0.234117307005932,84
"Indiana",2.0771646317834,5,0.41543292635668,62,133,125,0.536689902112264,0.463310097887736,0.606284878777917,53
"Iowa",3.09789580302894,6,0.51631596717149,114,167,99,0.775426698146554,0.224573301853446,1.55466438585039,21
"Iowa State",2.33978097937669,6,0.389963496562781,52,160,201,0.368031576474887,0.631968423525113,-0.131591520527368,80
"Kansas",2.41538650381532,5,0.483077300763064,95,125,165,0.341191900444683,0.658808099555318,-0.709427001591908,99
"Kansas State",2.62283351344399,5,0.524566702688798,120,171,88,0.828417688301143,0.171582311698857,1.51925492806172,23
"Kent State",3.30286674215078,6,0.550477790358464,130,147,178,0.388528508937353,0.611471491062646,-0.971695688526663,104
"Kentucky",3.04712844524436,6,0.50785474087406,109,147,188,0.358232879425294,0.641767120574706,-0.897731168692596,103
"Louisiana-Lafayette",2.79567729188711,5,0.559135458377422,137,138,168,0.385515241276514,0.614484758723486,-0.868101085504543,102
"Louisiana-Monroe",2.71224493563035,5,0.542448987126071,126,114,195,0.218877695597697,0.781122304402303,-1.61785645764187,119
"Louisiana Tech",3.70196973726826,6,0.616994956211376,163,235,201,0.591552013529427,0.408447986470573,-0.152657656091695,81
"Louisville",2.76551718131146,5,0.553103436262292,134,290,132,0.865922477855923,0.134077522144077,1.56409520796816,20
"LSU",2.29375911521584,5,0.458751823043169,79,126,74,0.779259077231795,0.220740922768205,1.60253627094313,19
"Marshall",2.64906046808589,5,0.529812093617178,124,176,205,0.410599753975335,0.589400246024665,-0.596061698209219,95
"Maryland",3.05504355965487,5,0.611008711930975,161,187,96,0.829235985770579,0.170764014229421,1.09113636919802,34
"Massachusetts",2.76846398334162,6,0.461410663890271,81,110,177,0.244652993895292,0.755347006104708,-1.30054601996987,109
"Memphis",3.23735187519264,5,0.647470375038527,174,217,102,0.856825628300898,0.143174371699102,1.04677626631185,36
"Miami (FL)",2.58637565969252,5,0.517275131938504,115,207,64,0.941694837616332,0.0583051623836682,2.12209852838914,11
