"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"Iowa",0.775426698146554,0.887713349073277,0.807108751763419,20637,11113,0.649984251968504,0.465701505342557,34,35,0.633897200272898,31
"Iowa State",0.368031576474887,0.684015788237443,0.912273232419291,15864,15886,0.499653543307087,0.311788454884199,72,65,0.390381418371104,85
"Kansas",0.341191900444683,0.670595950222341,0.854869666693937,7277,24473,0.229196850393701,0.131392168093467,107,111,0.270848687605778,109
"Kansas State",0.828417688301143,0.914208844150571,0.840643559097058,20339,11411,0.64059842519685,0.492315120955275,30,37,0.677802137673903,24
"Kent State",0.388528508937354,0.694264254468677,0.801695501794035,9293,22457,0.292692913385827,0.162909518363007,103,103,0.305218676417822,104
"Kentucky",0.358232879425294,0.679116439712647,0.907397390644216,11452,20298,0.360692913385827,0.222269247688204,92,92,0.336937357817593,95
"Louisiana-Lafayette",0.385515241276514,0.692757620638257,0.825507619372656,9637,22113,0.303527559055118,0.173580337075696,102,100,0.313339699057073,101
"Louisiana-Monroe",0.218877695597697,0.609438847798848,0.836675431565448,5254,26496,0.16548031496063,0.084378828118644,118,118,0.177246498603046,121
"Louisiana Tech",0.591552013529427,0.795776006764713,0.809247487857795,17741,14009,0.558771653543307,0.359837621023339,60,53,0.505398538438375,62
"Louisville",0.865922477855923,0.932961238927962,0.876495863058514,26947,4803,0.848724409448819,0.694033069202253,6,9,0.788893116196336,6
"LSU",0.779259077231795,0.889629538615897,0.919260026383785,24318,7432,0.76592125984252,0.626371075055582,17,18,0.732868233211442,18
"Marshall",0.410599753975335,0.705299876987667,0.840153324107333,5711,26039,0.179874015748031,0.106586153272963,114,115,0.289935837369364,107
"Maryland",0.829235985770579,0.914617992885289,0.794427178529515,20804,10946,0.655244094488189,0.476098649864126,33,34,0.657593101169971,28
"Massachusetts",0.244652993895292,0.622326496947646,0.890676392931386,8874,22876,0.279496062992126,0.154922297457707,104,104,0.238436451745724,112
"Memphis",0.856825628300898,0.928412814150449,0.794586241717505,26125,5625,0.822834645669291,0.607008449568737,19,11,0.728159452422331,19
"Miami (FL)",0.941694837616332,0.970847418808166,0.830688226912924,25386,6364,0.79955905511811,0.64482160725665,11,16,0.788022895007746,7
"Miami (OH)",0.215368865951404,0.607684432975702,0.855447975109487,7523,24227,0.236944881889764,0.123174000261941,109,108,0.201806200816425,114
"Michigan",0.976721149968759,0.988360574984379,0.929656701652726,30825,925,0.970866141732283,0.892066793450663,1,1,0.928965622387037,1
"Michigan State",0.39362448385534,0.69681224192767,0.893514987532614,11657,20093,0.367149606299213,0.22859181737304,90,90,0.356856119289428,90
"Middle Tennessee",0.762217998406464,0.881108999203232,0.763358316335621,17092,14658,0.538330708661417,0.362082247859399,57,57,0.567340534849983,46
"Minnesota",0.645673298859186,0.822836649429593,0.849479555370061,15393,16357,0.484818897637795,0.338880124426985,64,68,0.52726381043208,53
"Mississippi State",0.486276964727654,0.743138482363827,0.90592842913054,18988,12762,0.598047244094488,0.402623512371545,51,48,0.493037165883557,68
"Missouri",0.747607195796445,0.873803597898222,0.886594112759513,17460,14290,0.54992125984252,0.426029018364003,45,56,0.625189845580691,32
"Navy",0.65867574869919,0.829337874349595,0.876635488750588,17089,14661,0.538236220472441,0.391312271561515,54,58,0.564357764750196,47
"Nebraska",0.853329233760719,0.926664616880359,0.860698142486542,25046,6704,0.788850393700787,0.629170125136637,16,17,0.752589388851806,13
