Visitor.Team,Visitor.Score,Home.Team,Home.Score
Texas A&M,14,Alabama,33
Rutgers,32,Minnesota,34
Louisiana-Lafayette,27,Texas State,3
North Carolina State,13,Louisville,54
Miami (OH),40,Bowling Green,26
North Carolina,35,Virginia,14
Memphis,28,Navy,42
Oregon State,17,Washington,41
Mississippi State,38,Kentucky,40
Tennessee State,17,Vanderbilt,35
Massachusetts,28,South Carolina,34
Louisiana Tech,44,Florida International,24
Idaho,19,Appalachian State,37
Michigan State,17,Maryland,28
Houston,16,SMU,38
North Texas,35,Army,18
Buffalo,7,Northern Illinois,44
UTEP,52,UTSA,49
Old Dominion,24,Western Kentucky,59
Illinois,8,Michigan,41
Utah,52,UCLA,45
Hawaii,34,Air Force,27
East Carolina,19,Cincinnati,31
Oklahoma State,44,Kansas,20
Charlotte,27,Marshall,24
UT Martin,6,Georgia State,31
TCU,10,West Virginia,34
Prairie View,44,Rice,65
Arkansas,3,Auburn,56
Syracuse,28,Boston College,20
Washington State,37,Arizona State,32
Georgia Southern,22,New Mexico State,19
Ole Miss,21,LSU,38
Ohio State,21,Penn State,24
Louisiana-Monroe,17,New Mexico,59
Oklahoma,66,Texas Tech,59
Wyoming,42,Nevada,34
Fresno State,20,Utah State,38
Akron,20,Buffalo,41
Ohio,31,Toledo,26
Virginia Tech,39,Pittsburgh,36
Appalachian State,34,Georgia Southern,10
California,24,USC,45
Navy,45,South Florida,52
Air Force,31,Fresno State,21
San Diego State,40,Utah State,13
Minnesota,40,Illinois,17
Florida,24,Georgia,10
West Virginia,20,Oklahoma State,37
Nebraska,17,Wisconsin,23
Samford,41,Mississippi State,56
Washington,31,Utah,24
Auburn,40,Ole Miss,29
Wagner,10,Massachusetts,34
Miami (FL),27,Notre Dame,30
Baylor,34,Texas,35
Arizona State,35,Oregon,54
Kansas State,31,Iowa State,26
Cincinnati,13,Temple,34
Michigan,32,Michigan State,23
Kentucky,35,Missouri,21
North Texas,17,UTSA,31
Miami (OH),28,Eastern Michigan,15
Washington State,35,Oregon State,31
Kansas,3,Oklahoma,56
Louisiana-Monroe,10,Arkansas State,51
Maryland,36,Indiana,42
Northwestern,20,Ohio State,24
Tennessee,21,South Carolina,24
Louisville,32,Virginia,25
Texas Tech,27,TCU,24
Penn State,62,Purdue,24
Middle Tennessee,42,Florida International,35
Connecticut,3,East Carolina,41
Old Dominion,31,UTEP,21
New Mexico,28,Hawaii,21
New Mexico State,10,Texas A&M,52
Army,21,Wake Forest,13
Clemson,37,Florida State,34
Duke,35,Georgia Tech,38
Rice,16,Louisiana Tech,61
UNLV,24,San Jose State,30
SMU,35,Tulane,31
Tulsa,59,Memphis,30
Western Kentucky,52,Florida Atlantic,3
Kent State,27,Central Michigan,24
Georgia State,10,South Alabama,13
Boise State,28,Wyoming,30
UCF,24,Houston,31
Boston College,21,North Carolina State,14
Marshall,14,Southern Miss,24
Stanford,34,Arizona,10
Toledo,48,Akron,17
Bowling Green,20,Northern Illinois,45
Western Michigan,52,Ball State,20
Arkansas State,31,Georgia State,16
Buffalo,10,Ohio,34
Oklahoma,34,Iowa State,24
Temple,21,Connecticut,0
Central Michigan,17,Miami (OH),37
UCLA,10,Colorado,20
Tulane,6,UCF,37
Texas State,10,Appalachian State,35
Louisville,52,Boston College,7
San Jose State,31,Boise State,45
TCU,62,Baylor,22
Iowa,14,Penn State,41
Florida,10,Arkansas,31
Purdue,31,Minnesota,44
Fresno State,0,Colorado State,37
Arizona,7,Washington State,69
Wisconsin,21,Northwestern,7
Pittsburgh,28,Miami (FL),51
Michigan State,27,Illinois,31
Kansas,21,West Virginia,48
Florida International,21,Western Kentucky,49
Georgia Southern,27,Ole Miss,37
Massachusetts,31,Troy,52
Oklahoma State,43,Kansas State,37
Virginia Tech,24,Duke,21
Florida Atlantic,42,Rice,25
Indiana,33,Rutgers,27
BYU,20,Cincinnati,3
Florida State,24,North Carolina State,20
Louisiana Tech,45,North Texas,24
Notre Dame,27,Navy,28
Syracuse,0,Clemson,54
Memphis,51,SMU,7
UTSA,45,Middle Tennessee,25
Oregon State,15,Stanford,26
Georgia,27,Kentucky,24
Missouri,21,South Carolina,31
Air Force,31,Army,12
Marshall,14,Old Dominion,38
Tennessee Tech,0,Tennessee,55
Texas,45,Texas Tech,37
Texas A&M,28,Mississippi State,35
South Alabama,35,Louisiana-Monroe,42
Georgia Tech,20,North Carolina,48
Charlotte,38,Southern Miss,27
Oregon,20,USC,45
Vanderbilt,16,Auburn,23
Maryland,3,Michigan,59
Hawaii,0,San Diego State,55
Idaho,23,Louisiana-Lafayette,13
Virginia,20,Wake Forest,27
East Carolina,24,Tulsa,45
Washington,66,California,27
Utah State,28,Wyoming,52
Nevada,26,New Mexico,35
Alabama,10,LSU,0
Nebraska,3,Ohio State,62
Eastern Michigan,48,Ball State,41
Western Michigan,37,Kent State,21
Toledo,31,Northern Illinois,24
Bowling Green,38,Akron,28
Utah,49,Arizona State,26
Louisiana-Lafayette,33,Georgia Southern,26
North Carolina,27,Duke,28
Penn State,45,Indiana,31
Wyoming,66,UNLV,69
Illinois,3,Wisconsin,48
Tulane,18,Houston,30
Iowa State,31,Kansas,24
South Carolina,7,Florida,20
Northwestern,45,Purdue,17
Pittsburgh,43,Clemson,42
New Mexico State,22,Arkansas State,41
Miami (FL),34,Virginia,14
Georgia Tech,30,Virginia Tech,20
Texas Tech,44,Oklahoma State,45
Rice,22,Charlotte,21
Miami (OH),35,Buffalo,24
Auburn,7,Georgia,13
Cincinnati,3,UCF,24
North Carolina State,35,Syracuse,20
UTEP,31,Florida Atlantic,35
Idaho,47,Texas State,14
Southern Utah,7,BYU,37
Louisiana-Monroe,37,Georgia State,23
West Virginia,24,Texas,20
Ohio State,62,Maryland,3
Boston College,7,Florida State,45
Kentucky,36,Tennessee,49
SMU,55,East Carolina,31
Baylor,24,Oklahoma,45
Southern Miss,35,Old Dominion,51
Rutgers,0,Michigan State,49
Appalachian State,24,Troy,28
Vanderbilt,17,Missouri,26
Army,6,Notre Dame,44
North Texas,7,Western Kentucky,45
Stanford,52,Oregon,27
Tulsa,40,Navy,42
UTSA,35,Louisiana Tech,63
Mississippi State,3,Alabama,51
New Mexico,24,Utah State,21
Michigan,13,Iowa,14
Colorado State,46,Air Force,49
South Florida,49,Memphis,42
Boise State,52,Hawaii,16
California,21,Washington State,56
Oregon State,24,UCLA,38
Colorado,49,Arizona,24
Wake Forest,12,Louisville,44
USC,26,Washington,13
LSU,38,Arkansas,10
San Diego State,46,Nevada,16
Middle Tennessee,17,Marshall,42
Minnesota,17,Nebraska,24
Ole Miss,29,Texas A&M,28
Ohio,20,Central Michigan,27
Kent State,7,Bowling Green,42
Ball State,19,Toledo,37
Northern Illinois,31,Eastern Michigan,24
Louisville,10,Houston,36
Arkansas State,35,Troy,3
Texas Tech,10,Iowa State,66
Austin Peay,13,Kentucky,49
Louisiana-Monroe,17,Appalachian State,42
Massachusetts,9,BYU,51
Oklahoma State,31,TCU,6
UTSA,10,Texas A&M,23
Old Dominion,42,Florida Atlantic,24
Duke,14,Pittsburgh,56
W Carolina,31,South Carolina,44
Southern Miss,23,North Texas,29
UNLV,25,Boise State,42
Utah State,37,Nevada,38
Morgan State,3,Army,60
Texas State,10,New Mexico State,50
Memphis,34,Cincinnati,7
Georgia Southern,24,Georgia State,30
Ohio State,17,Michigan State,16
San Diego State,33,Wyoming,34
Stanford,45,California,31
UTEP,24,Rice,44
Navy,66,East Carolina,31
Wisconsin,49,Purdue,20
Maryland,7,Nebraska,28
Oregon,30,Utah,28
Miami (FL),27,North Carolina State,13
Florida State,45,Syracuse,14
Kansas State,42,Baylor,21
The Citadel,7,North Carolina,41
Buffalo,0,Western Michigan,38
Temple,31,Tulane,0
Texas,21,Kansas,24
Northwestern,12,Minnesota,29
Iowa,28,Illinois,0
Indiana,10,Michigan,20
Virginia,17,Georgia Tech,31
Florida,16,LSU,10
Connecticut,0,Boston College,30
Middle Tennessee,38,Charlotte,31
Virginia Tech,34,Notre Dame,31
Louisiana-Lafayette,21,Georgia,35
Washington State,24,Colorado,38
Missouri,37,Tennessee,63
USC,36,UCLA,14
