"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Score","Rank"
"Nevada",7.66553589051677,12,0.638794657543065,189,305,348,5.06362253177918,6.93637746822082,0.918237137782562,102
"New Mexico",8.06654172137436,13,0.620503209336489,187,477,409,7.42775068496956,5.57224931503044,1.18046893299338,66
"New Mexico State",6.32356962308538,12,0.526964135257115,124,298,466,3.72778916216668,8.27221083783332,0.807428765133095,120
"North Carolina",6.38740795369364,13,0.491339073361049,102,420,324,7.83252967314784,5.16747032685216,1.37190675945778,42
"North Carolina State",5.80606942918433,13,0.446620725321872,66,351,296,7.55931288764884,5.44068711235116,1.37459175588173,41
"North Texas",7.67733485239086,13,0.590564219414681,170,322,424,4.99046747229712,8.00953252770288,0.835441274811734,115
"Northern Illinois",5.80753798007813,12,0.483961498339845,99,366,364,6.03193755459451,5.96806244540549,1.23445613412167,57
"Northwestern",5.41635310998967,13,0.416642546922282,43,338,289,6.86584553102967,6.13415446897033,1.2978826486476,50
"Notre Dame",5.39060447487267,12,0.449217039572722,70,371,334,5.94273303349003,6.05726696650997,1.25433317270471,55
"Ohio",8.2950458999985,14,0.592503278571321,171,368,317,8.45107556591985,5.54892443408015,1.22601726515645,59
"Ohio State",4.94638709410119,13,0.380491314930861,27,512,201,9.45417074750861,3.54582925249139,1.73223776009732,4
"Oklahoma",5.7326743352519,13,0.440974948865531,60,571,375,8.98932204415087,4.01067795584913,1.60023894103069,10
"Oklahoma State",6.44867821715113,13,0.496052170550087,108,502,345,8.60086612504595,4.39913387495405,1.48539927025307,21
"Old Dominion",8.06328843587639,13,0.620252956605876,186,456,354,8.22135996499482,4.77864003500518,1.30281292111249,49
"Ole Miss",4.8154511212733,12,0.401287593439442,34,391,408,5.77839155686707,6.22160844313293,1.27487237273417,54
"Oregon",5.1595929474265,12,0.429966078952208,58,425,497,5.16457936147327,6.83542063852673,1.14389185465577,73
"Oregon State",5.10547306383908,12,0.425456088653256,53,314,366,5.0483385577857,6.9516614422143,1.12902837767346,77
"Penn State",5.94114476243751,14,0.424367483031251,52,526,356,9.6509311552897,4.3490688447103,1.56556100203507,15
"Pittsburgh",5.84547458324475,13,0.449651891018827,71,532,458,7.5061832380483,5.4938167619517,1.36338679793854,45
"Purdue",5.90924505088493,12,0.492437087573744,103,295,459,3.87507693915782,8.12492306084218,0.866503775648323,113
"Rice",7.00669780689141,12,0.583891483907618,163,303,448,3.76216072025882,8.23783927974118,0.75623000949795,124
"Rutgers",5.12852391993464,12,0.427376993327887,54,188,450,2.83373740508443,9.16626259491557,0.758007280881949,123
"San Diego State",8.55713648034916,14,0.611224034310654,181,493,283,10.4573942856811,3.54260571431892,1.49391346938301,20
"San Jose State",6.65951176074135,12,0.554959313395112,148,293,416,4.25306939454631,7.74693060545369,0.866980292391704,112
"SMU",6.10904814500791,12,0.509087345417326,114,332,435,4.98286549459949,7.01713450540051,1.03448494371169,90
"South Alabama",7.4385843615227,13,0.572198797040208,157,330,351,5.92067654592015,7.07932345407985,0.996915785435905,96
"South Carolina",6.14661551207107,13,0.47281657785162,92,270,344,5.15274826423704,7.84725173576296,0.978155192057859,97
"South Florida",7.50305316503961,13,0.577157935772278,159,569,411,8.79161835366865,4.20838164633135,1.43364000174207,31
"Southern Miss",7.79209764222184,13,0.599392126324757,176,427,384,7.16559762139188,5.83440237860812,1.1612487754547,71
"Stanford",5.56144601255527,13,0.427803539427328,55,342,265,8.27563228156682,4.72436771843318,1.50361192545596,19
"Syracuse",5.0127315291917,12,0.417727627432641,44,308,463,4.35439358606773,7.64560641393227,1.02109934360774,92
"TCU",6.44420121608672,13,0.495707785852825,107,403,364,6.67854013525447,6.32145986474553,1.19000119498241,65
"Temple",8.16590870154419,14,0.583279192967442,162,453,258,10.0487485796957,3.95125142030429,1.46348035272831,26
"Tennessee",5.4555977037565,13,0.419661361827423,47,473,375,7.88147522766088,5.11852477233912,1.45111455630111,28
"Texas",5.70355795228077,12,0.475296496023397,94,383,378,6.00737175714161,5.99262824285839,1.23902683686263,56
"Texas A&M",5.89570307100464,13,0.453515620846511,73,453,319,8.22049693697781,4.77950306302219,1.46941748333078,25
"Texas State",6.62111166004315,12,0.551759305003596,146,223,493,2.26201002747221,9.73798997252779,0.538337072937536,128
"Texas Tech",5.97867801653571,12,0.498223168044642,109,524,522,6.03916395802985,5.96083604197015,1.22139886498943,60
"Toledo",7.00949528363524,13,0.539191944895018,133,494,334,9.03891073053177,3.96108926946823,1.50965097367519,18
"Troy",7.82728312999887,13,0.602098702307606,178,438,287,8.57596788107275,4.42403211892725,1.37552223942275,40
"Tulane",6.5876744924914,12,0.548972874374283,144,289,332,4.51449455218401,7.48550544781599,0.916537591018814,103
"Tulsa",7.51645256086883,13,0.578188658528372,160,552,388,8.65819640009017,4.34180359990984,1.41208282458928,36
"UCF",7.01327336369884,13,0.539482566438372,135,374,320,7.2502461460002,5.7497538539998,1.23418118528082,58
"UCLA",5.06824405616156,12,0.422353671346797,49,299,330,5.08404281157637,6.91595718842363,1.13808150394503,75
"UNLV",7.02318068797955,12,0.585265057331629,166,379,441,4.5347114997756,7.4652885002244,0.883614899326735,107
"USC",5.13210637989264,13,0.394777413837895,30,447,315,8.6522628439416,4.34773715605839,1.59458121448767,12
"Utah",6.56030056067293,13,0.504638504667148,112,388,311,7.89440483769791,5.10559516230209,1.36812658423631,44
"Utah State",5.69082151612992,12,0.47423512634416,93,287,352,4.67055656612417,7.32944343387583,1.01728567470563,94
"UTEP",6.7889019732296,11,0.617172906657236,183,274,409,3.41564211812324,7.58435788187676,0.781774431215094,121
"UTSA",7.6302699934276,13,0.586943845648277,167,379,363,6.72954987656666,6.27045012343334,1.10661278769653,78
"Vanderbilt",5.75779634589074,13,0.442907411222365,62,299,312,5.70945591301188,7.29054408698813,1.09371168926786,82
"Virginia",4.96606117939296,12,0.41383843161608,42,270,405,3.63393374494272,8.36606625505728,0.904911899236803,105
"Virginia Tech",6.7128663876159,14,0.479490456258279,98,490,319,9.15207676762616,4.84792323237384,1.43917311628468,30
"Wake Forest",6.38090935906638,13,0.490839181466644,101,265,288,6.31545669516998,6.68454330483002,1.13901080858637,74
"Washington",6.57234267838904,14,0.46945304845636,89,585,248,10.8992799004731,3.1007200995269,1.69881097163617,5
"Washington State",5.34441723969263,13,0.411109018437895,40,496,343,7.89393342122496,5.10606657877504,1.46158354485434,27
"West Virginia",6.18134746220149,13,0.475488266323192,95,405,312,8.09410303326646,4.90589696673354,1.42799962189851,34
"Western Kentucky",7.15943603641164,13,0.550725848954741,145,587,341,9.27361040315177,3.72638959684824,1.534224711557,17
"Western Michigan",8.18344400595919,14,0.584531714711371,164,582,277,10.930820045012,3.06917995498798,1.58823804031529,13
"Wisconsin",5.64336882573975,14,0.403097773267125,35,397,218,9.94459494328197,4.05540505671803,1.62878268151238,6
"Wyoming",6.9227471897598,14,0.4944819421257,105,503,477,7.5433587645206,6.45664123547941,1.19436477283075,64
