"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Duke",245,242,132,171,0.351260742359709,0.648739257640291,0.507299368378886,0.492700631621114,1.00947282299374,0.545650230414558,0.558701650446671,0.74734233429694,26,0.529401327762804,65
"East Carolina",283,330,166,219,0.341483786704689,0.658516213295311,0.409957652091741,0.590042347908259,0.995521759117377,0.470432748962787,0.480772081656085,0.438009910681702,88,0.431620864804262,95
"Eastern Michigan",315,312,169,194,0.418979540142363,0.581020459857637,0.50566965670678,0.49433034329322,0.984925005858917,0.469779479821995,0.484317040067887,0.435323336727167,91,0.49103644757188,78
"Florida",236,120,180,113,0.750896360271323,0.249103639728677,0.83242692947456,0.167573070525441,1.025,0.492572032561654,0.456220192445577,0.529057870817588,65,0.724700300893188,11
"Florida Atlantic",237,358,155,196,0.364423868942308,0.635576131057692,0.273376073407253,0.726623926592747,0.982247931351517,0.434048711259302,0.440468805376101,0.28838029870189,116,0.323231912692032,119
"Florida International",229,362,175,213,0.385629838289133,0.614370161710867,0.252508950889701,0.747491049110299,0.982247931351517,0.47243570738911,0.476582744646862,0.446247091353755,85,0.321391734788503,120
"Florida State",347,266,195,189,0.518508671025844,0.481491328974156,0.652492517978527,0.347507482021472,1.00947282299374,0.546188999040202,0.584343269765512,0.749558024074388,25,0.635741859446579,29
"Fresno State",185,341,86,195,0.125625242197243,0.874374757802757,0.190106523152513,0.809893476847486,0.982557525002033,0.488999541140547,0.531946967059345,0.5143659746213,70,0.298749895045706,124
"Georgia",226,240,167,192,0.418090092442393,0.581909907557607,0.464448519107551,0.535551480892449,1.025,0.555400635092689,0.580172665390735,0.787440942387793,21,0.515598815398661,66
"Georgia Southern",267,264,131,143,0.448254900670013,0.551745099329987,0.506694586398868,0.493305413601132,0.975,0.458887535166132,0.450055752239993,0.390530137416955,98,0.475619600637262,83
"Georgia State",197,258,114,150,0.342895951045837,0.657104048954163,0.345399958668975,0.654600041331025,0.975,0.468786385003596,0.493999876524681,0.431239227273807,92,0.385059933005355,106
"Georgia Tech",275,256,167,215,0.354625883157265,0.645374116842735,0.54231775988565,0.45768224011435,1.00947282299374,0.515933350155256,0.537341438464327,0.625131454386159,51,0.545780552953639,61
"Hawaii",284,434,181,237,0.345503249887898,0.654496750112102,0.267950357061547,0.732049642938453,0.982557525002033,0.484229060119059,0.514570428650608,0.494747337733894,75,0.344049442043262,114
"Houston",376,213,197,141,0.688396170329686,0.311603829670314,0.793616430974075,0.206383569025925,0.995521759117377,0.456146506120619,0.425887522503225,0.379257636111633,100,0.668035048814694,20
"Idaho",264,314,191,152,0.632112730299753,0.367887269700247,0.398657500318323,0.601342499681677,0.975,0.467694696161257,0.503057241232317,0.426749649200774,93,0.422620978607413,98
"Illinois",215,313,130,228,0.208912596526725,0.791087403473275,0.291091371551234,0.708908628448766,1.02003770631759,0.536627251235205,0.559065406267972,0.710235268706493,33,0.388038714874338,105
"Indiana",275,284,183,218,0.397768650566613,0.602231349433387,0.48092889573084,0.51907110426916,1.02003770631759,0.525920730587532,0.515916278938986,0.666204626939329,43,0.502461757742366,70
