"Team","Expected.Wins","Games","Average.Expected.Wins","SoS.Rank","Points.For","Points.Against","Py.Wins","Py.Losses","Score","Rank"
"Miami (FL)",4.12652899047115,9,0.458503221163461,75,314,179,5.80025682525039,3.19974317474961,1.5730196714065,28
"Miami (OH)",5.2828335445132,10,0.52828335445132,124,225,248,4.4542996120583,5.5457003879417,1.03089580622322,101
"Michigan",3.91821624560255,9,0.435357360622505,64,432,96,8.18978198762131,0.810218012378686,2.12717112358543,2
"Michigan State",3.80095752938164,9,0.422328614375737,56,212,271,3.37659022836303,5.62340977163697,1.07060170110814,95
"Middle Tennessee",5.66739133744771,9,0.629710148605301,180,349,284,5.30868935162876,3.69131064837124,1.29257552760429,62
"Minnesota",4.91499054330456,9,0.546110060367174,138,301,208,5.79804894137329,3.20195105862671,1.4849221913412,39
"Mississippi State",4.27379543636206,9,0.474866159595784,86,278,268,4.58005862968184,4.41994137031816,1.28550157840338,66
"Missouri",4.39455072964828,9,0.488283414405365,98,286,274,3.55081360787927,5.44918639212073,1.04336320763767,98
"Navy",4.21477401309766,8,0.526846751637207,122,276,229,4.66012408066645,3.33987591933356,1.47358331635801,43
"Nebraska",4.01461437241169,9,0.446068263601298,70,259,209,5.86804685689753,3.13195314310247,1.6005190804458,25
"Nevada",6.0967243462295,9,0.677413816247723,195,206,255,3.49969517543078,5.50030482456922,0.842873154140097,116
"New Mexico",6.02018954712322,9,0.668909949680357,194,343,284,5.26182117654212,3.73817882345788,1.24296057650998,72
"New Mexico State",4.11372926366887,8,0.514216157958609,114,191,343,2.17349200608137,5.82650799391863,0.864555891390336,115
"North Carolina",4.32614175731256,9,0.480682417479173,90,308,236,5.58237912598947,3.41762087401053,1.50242320858836,36
"North Carolina State",3.98512306643877,9,0.44279145182653,69,234,211,5.06505974308451,3.93494025691549,1.42535431137323,49
"North Texas",5.58516960664958,9,0.620574400738843,172,231,266,3.82486822664954,5.17513177335046,0.971973247697589,105
"Northern Illinois",4.25808018481996,9,0.473120020535551,83,280,288,4.31627816331936,4.68372183668064,1.22862983604973,75
"Northwestern",2.92595000562767,9,0.325105556180852,20,208,198,4.36136914805654,4.63863085194346,1.38666451923491,54
"Notre Dame",4.38012187153757,9,0.486680207948619,97,269,249,4.27648018162451,4.72351981837549,1.20622565270447,78
"Ohio",6.64790920602925,10,0.664790920602925,191,293,230,6.43912649615191,3.56087350384809,1.29135361689034,64
"Ohio State",3.30330187774481,9,0.367033541971646,36,403,124,7.35697149624217,1.64302850375783,2.01042594415204,3
"Oklahoma",4.4610398699602,9,0.495671096662245,102,397,284,5.70498121598188,3.29501878401812,1.51467943829249,33
"Oklahoma State",5.05172613255398,9,0.561302903617109,146,368,249,5.95256027539162,3.04743972460838,1.50406520009534,35
"Old Dominion",5.56707499870966,9,0.618563888745518,171,297,247,5.3920911627438,3.6079088372562,1.32225552326742,57
"Ole Miss",3.48506811174307,9,0.387229790193674,45,325,287,5.04485800941677,3.95514199058323,1.4764266988577,42
"Oregon",3.37463760323665,9,0.374959733692961,40,344,383,4.14458362314565,4.85541637685435,1.2886357806315,65
"Oregon State",2.89320049497186,9,0.32146672166354,19,214,287,3.20608380394479,5.79391619605521,1.13357327728295,85
"Penn State",3.17958891028863,9,0.353287656698737,29,310,230,5.90202711534046,3.09797288465954,1.70085085589123,14
"Pittsburgh",4.14529825289875,9,0.460588694766528,77,333,310,5.04807535405121,3.95192464594879,1.40378275975917,52
"Purdue",4.47752674990928,9,0.497502972212142,105,234,339,3.22500995524819,5.77499004475181,0.961742838135101,107
"Rice",5.1989819809284,9,0.5776646645476,158,220,362,2.31628614610592,6.68371385389408,0.679642521545806,126
"Rutgers",3.39797580617415,9,0.377552867352683,43,175,331,2.72065343780579,6.27934656219421,0.969613716896249,106
"San Diego State",6.46351946230123,9,0.718168829144581,204,322,136,7.37652786475638,1.62347213524362,1.66363651664893,18
"San Jose State",5.51447672016667,10,0.551447672016667,142,239,361,3.21950618444724,6.78049381555276,0.760772803135662,122
"SMU",4.30441539894096,9,0.478268377660106,88,219,294,3.72669460487597,5.27330539512403,1.0924629103822,89
"South Alabama",4.89665440702276,9,0.544072711891418,136,212,233,3.79727817331573,5.20272182668427,1.04234381358195,99
"South Carolina",4.37265702717616,9,0.485850780797351,95,173,191,3.96909343768839,5.03090656231161,1.1387469145366,83
"South Florida",5.06344050268538,9,0.562604500298375,148,391,272,6.21750016355416,2.78249983644584,1.56163913411686,30
"Southern Miss",5.65847584342846,9,0.628719538158718,178,302,259,5.08516961191849,3.91483038808151,1.24389508478193,71
"Stanford",3.18421147896869,9,0.353801275440966,30,179,167,5.30392444897671,3.69607555102329,1.56742553351262,29
"Syracuse",3.90167704663544,9,0.433519671848382,62,213,307,3.71289577820829,5.28710422179171,1.13414521026777,84
"TCU",4.89967225045084,9,0.544408027827871,137,337,263,5.35743813040867,3.64256186959133,1.38871071033281,53
"Temple",5.44066288189983,10,0.544066288189983,135,325,204,6.79776151307765,3.20223848692235,1.48380525268843,40
"Tennessee",3.4105525340721,9,0.378950281563567,44,289,233,5.33928148623315,3.66071851376685,1.55013364678034,31
"Texas",4.31189833731638,9,0.479099815257375,89,333,299,5.14157475140842,3.85842524859158,1.40604928312548,51
"Texas A&M",3.96457017477171,9,0.440507797196857,66,335,193,6.14316633483297,2.85683366516703,1.66721720861367,17
"Texas State",4.51088192799085,8,0.563860240998856,149,178,320,2.07461962114611,5.92538037885389,0.790193712116275,119
"Texas Tech",4.53537255145368,9,0.503930283494854,110,416,376,4.80471143807147,4.19528856192853,1.30636030081312,61
"Toledo",5.59817392368652,9,0.622019324854058,174,363,205,6.86745452556015,2.13254547443985,1.64665861222918,20
"Troy",5.28395419830127,8,0.660494274787659,188,315,170,5.97434683397288,2.02565316602712,1.66849148153416,15
"Tulane",5.03488360661203,9,0.559431511845781,143,233,258,3.35786536244641,5.64213463755359,0.92933772232329,112
"Tulsa",5.08326394820992,9,0.564807105356657,151,382,279,5.86807381866797,3.13192618133204,1.48178623019498,41
"UCF",4.86135672259505,9,0.540150746955005,134,286,203,5.67269081494985,3.32730918505015,1.46302414332594,45
"UCLA",3.42508397906318,10,0.342508397906318,23,247,254,4.35573124975804,5.64426875024196,1.19695709030817,79
"UNLV",5.79910290956819,9,0.644344767729799,184,275,288,3.7546091334358,5.2453908665642,0.932589748881357,111
"USC",3.30127147891529,9,0.366807942101699,35,288,212,5.6051444635743,3.3948555364257,1.62135664787357,23
"Utah",4.4577020645553,9,0.495300229395033,101,263,204,5.68906064260694,3.31093935739306,1.51151240036527,34
"Utah State",4.24681889526172,9,0.471868766140191,82,219,262,3.68465751200167,5.31534248799833,1.08952094570783,91
"UTEP",4.53021850338064,8,0.56627731292258,153,167,306,1.93292080937913,6.06707919062087,0.752351937250805,124
"UTSA",5.73581043354766,9,0.637312270394184,181,281,240,5.10659661895734,3.89340338104266,1.2400639096662,73
"Vanderbilt",4.26674835743191,9,0.474083150825768,85,182,194,3.80062326762556,5.19937673237445,1.11307672893867,86
"Virginia",3.64561137163022,9,0.405067930181136,49,229,288,3.31135963398689,5.68864036601312,1.0733666976636,94
"Virginia Tech",4.52906662890291,9,0.503229625433657,108,314,182,6.23719598129373,2.76280401870627,1.62539085736815,22
"Wake Forest",5.11065947031572,9,0.567851052257302,154,192,166,5.14345200388479,3.85654799611521,1.31771521334252,59
"Washington",4.81656121618903,9,0.535173468465448,128,435,153,7.91798080360442,1.08201919639559,1.96695475262762,4
"Washington State",3.71950067388092,9,0.413277852653435,51,387,222,6.33611391153213,2.66388608846787,1.73732439242357,12
"West Virginia",4.39866195998239,8,0.549832744997799,140,266,165,5.71099815684371,2.28900184315629,1.71331584204173,13
"Western Kentucky",4.92966869089179,9,0.547740965654643,139,373,253,5.8668683559517,3.1331316440483,1.49858448929338,37
"Western Michigan",5.54005935458118,9,0.61556215050902,170,407,174,7.48243981944033,1.51756018055967,1.78977918521426,9
"Wisconsin",3.09296615067103,9,0.343662905630115,25,214,124,6.14189896286939,2.85810103713061,1.76378046196629,10
"Wyoming",4.75882066338207,9,0.528757851486897,125,323,268,5.45264904205676,3.54735095794324,1.42551886704003,48
