Visitor.Team,Visitor.Score,Home.Team,Home.Score,Winner
Southern Illinois,7.9,Memphis,92.1,Memphis
West Virginia,88.2,Kansas,11.8,West Virginia
Oklahoma,94.1,Baylor,5.9,Oklahoma
TCU,11.7,Oklahoma State,88.3,Oklahoma State
Georgia Southern,20.5,Indiana,79.5,Indiana
Penn State,71.9,Iowa,28.1,Iowa
UCF,60.5,Maryland,39.5,UCF
UNLV,5.6,Ohio State,94.4,Ohio State
Michigan,91.4,Purdue,8.6,Michigan
Rutgers,8.7,Nebraska,91.3,Nebraska
Notre Dame,48.2,Michigan State,51.8,Notre Dame
Georgia State,67,Charlotte,33,Georgia State
UAB,54.3,North Texas,45.7,UAB
Bowling Green,27.5,Middle Tennessee,72.5,Middle Tennessee
Ball State,7.1,Western Kentucky,92.9,Western Kentucky
FIU,31.5,Rice,68.5,Rice
FAU,53.4,Buffalo,46.6,Buffalo
Miami (OH),18.9,Central Michigan,81.1,Central Michigan
Ohio,65.4,Eastern Michigan,34.6,Ohio
Wagner,3.1,Western Michigan,96.9,Western Michigan
Utah State,60.6,San Jose State,39.4,Utah State
Hawaii,17.3,Wyoming,82.7,Wyoming
San Diego State,45.5,Air Force,54.5,San Diego State
Oregon,69.7,Arizona State,30.3,Oregon
USC,90.4,California,9.6,USC
UCLA,29,Stanford,71,UCLA
Washington,68.6,Colorado,31.4,Washington
Nevada,8.7,Washington State,91.3,Washington State
Alabama,87.4,Vanderbilt,12.6,Alabama
Mississippi State,16.3,Georgia,83.7,Georgia
Florida,66.6,Kentucky,33.4,Florida
Syracuse,9.2,LSU,90.8,LSU
Auburn,85.2,Missouri,14.9,Auburn
Louisiana Tech,16.3,South Carolina,83.7,South Carolina
Massachusetts,7.4,Tennessee,92.6,Tennessee
Arkansas,46.9,Texas A&M,53.1,Arkansas
Wake Forest,45.5,Appalachian State,54.4,Appalachian State
Akron,10,Troy,90,Troy
Idaho,41.9,South Alabama,58.1,Idaho
UL-Monroe,14.7,UL-Lafayette,85.3,UL-Lafayette
Western Illinois,15.9,Coastal Carolina,84.1,Western Illinois
UTSA,75.8,Texas State,24.2,UTSA
UTEP,69.3,New Mexico State,30.7,UTEP
Texas,65.6,Iowa State,34.4,Texas
Miami (FL),78.2,Duke,21.8,Duke
Nebraska,90.2,Illinois,9.8,Nebraska
BYU,67.6,Utah State,32.4,BYU
USC,56.9,Washington State,43.1,USC
Central Michigan,54.9,Boston College,45.1,Central Michigan
North Carolina,40.5,Georgia Tech,59.5,Georgia Tech
Florida State,86.6,Wake Forest,13.4,Florida State
Murray State,3.1,Louisville,96.9,Louisville
Syracuse,18,NC State,82,NC State
Rice,11.6,Pittsburgh,88.4,Pittsburgh
Clemson,49.5,Virginia Tech,50.5,Virginia Tech
Connecticut,8.8,SMU,91.2,SMU
USF,85.4,East Carolina,14.6,USF
Houston,63.5,Temple,36.5,Houston
Navy,70,Tulsa,30,Tulsa
Maine,3.8,UCF,96.2,UCF
Marshall,21.4,Cincinnati,78.6,Cincinnati
Baylor,13.3,Kansas State,86.7,Kansas State
Oklahoma State,86.3,Texas Tech,13.7,Oklahoma State
Iowa,62.8,Michigan State,37.2,Iowa
Maryland,22.1,Minnesota,77.9,Minnesota
Indiana,9.6,Penn State,90.4,Penn State
Ohio State,85.4,Rutgers,14.6,Ohio State
Northwestern,22.6,Wisconsin,77.4,Wisconsin
South Alabama,25.4,Louisiana Tech,74.6,South Alabama
North Texas,17.6,Southern Miss,82.4,Southern Miss
Charlotte,29,FIU,71,FIU
Middle Tennessee,55.2,FAU,44.8,Middle Tennessee
Ohio,84,Massachusetts,16,Massachusetts
UTEP,12.3,Army,87.7,Army
Miami (OH),12.4,Notre Dame,87.6,Notre Dame
Akron,29.8,Bowling Green,70.2,Akron
Ball State,8,Western Michigan,92,Western Michigan
Buffalo,57.9,Kent State,42.1,Kent State
Texas State,5.8,Wyoming,94.2,Wyoming
Colorado State,52.2,Hawaii,47.8,Colorado State
Nevada,72.7,Fresno State,27.3,Nevada
San Jose State,19.3,UNLV,80.7,UNLV
Air Force,45.4,New Mexico,54.6,Air Force
Northern Illinois,21.1,San Diego State,78.9,San Diego State
Arizona State,21.5,Stanford,78.5,Stanford
Colorado,53.9,UCLA,46.1,UCLA
California,13,Oregon,87,Oregon
Washington,84.5,Oregon State,15.5,Washington
New Mexico State,6,Arkansas,94,Arkansas
Mississippi State,15.8,Auburn,84.2,Auburn
Vanderbilt,17,Florida,83,Florida
Georgia,64,Tennessee,36,Tennessee
Eastern Michigan,9.2,Kentucky,90.8,Kentucky
Ole Miss,18.3,Alabama,81.7,Alabama
Troy,11.8,LSU,88.2,LSU
South Carolina,34.2,Texas A&M,65.8,Texas A&M
Memphis,67.2,Georgia State,32.8,Memphis
Coastal Carolina,60.7,UL-Monroe,39.3,Coastal Carolina
Arkansas State,39.2,Georgia Southern,60.7,Georgia Southern
Louisville,54.6,NC State,45.4,NC State
Memphis,80.8,Connecticut,19.2,Memphis
Boise State,64.6,BYU,33.4,BYU
Notre Dame,56.2,North Carolina,43.8,Notre Dame
Virginia Tech,91.4,Boston College,8.6,Virginia Tech
Duke,73.8,Virginia,26.2,Duke
Pittsburgh,60.7,Syracuse,39.3,Syracuse
Wake Forest,11.8,Clemson,88.2,Clemson
UCF,68.5,Cincinnati,31.5,UCF
Temple,65.8,East Carolina,34.2,East Carolina
Tulsa,83.7,Tulane,16.3,Tulsa
Air Force,14.3,Navy,85.7,Navy
SMU,36.5,Houston,63.5,Houston
Texas Tech,65.2,Kansas,34.8,Texas Tech
West Virginia,64.9,TCU,35.1,TCU
Iowa State,6.4,Oklahoma,93.6,Oklahoma
Kansas State,58.4,Texas,41.6,Texas
Minnesota,83.9,Purdue,16.1,Minnesota
Penn State,70.1,Northwestern,29.9,Penn State
Illinois,11.2,Iowa,88.8,Illinois
Michigan State,21.7,Michigan,78.3,Michigan
Wisconsin,63.6,Nebraska,36.4,Wisconsin
Maryland,13.7,Ohio State,86.3,Ohio State
Louisiana Tech,38,UAB,62,Louisiana Tech
Southern Miss,64.3,UTSA,35.7,Southern Miss
FIU,15.4,Middle Tennessee,84.6,Middle Tennessee
FAU,31.3,Old Dominion,68.7,Old Dominion
Marshall,77.3,Charlotte,22.7,Marshall
Army,80.7,Rice,19.3,Army
Western Kentucky,79,UTEP,21,Western Kentucky
Bowling Green,39.4,Miami (OH),60.6,Miami (OH)
Central Michigan,60.8,Ohio,39.2,Ohio
Eastern Michigan,25.3,Toledo,74.7,Eastern Michigan
Kent State,22.1,Northern Illinois,77.9,Kent State
Western Michigan,76,Buffalo,24,Buffalo
Ball State,20.3,Akron,79.7,Akron
Colorado State,73.4,Utah State,26.6,Colorado State
Fresno State,51.1,San Jose State,48.9,San Jose State
San Diego State,64.5,UNLV,35.5,UNLV
Hawaii,29.3,Nevada,70.7,Nevada
Arizona,25.8,Colorado,74.2,Colorado
Oregon State,16.1,USC,83.9,USC
Stanford,55.2,Utah,44.8,Utah
Washington State,57.6,Oregon,42.4,Oregon
California,13,Washington,87,Washington
Arkansas,66.5,South Carolina,33.5,Arkansas
LSU,52.7,Florida,47.3,Florida
Missouri,24.9,Kentucky,75.1,Kentucky
Ole Miss,9.3,Auburn,90.7,Auburn
Georgia,79.8,Vanderbilt,20.2,Georgia
Alabama,77,Texas A&M,23,Alabama
Georgia State,44.9,Coastal Carolina,55.1,Coastal Carolina
UL-Monroe,38.1,Texas State,61.9,Texas State
New Mexico State,7.2,Appalachian State,92.8,Appalachian State
UL-Lafayette,34.6,Idaho,65.4,UL-Lafayette
South Alabama,12.9,Troy,87.1,South Alabama
Texas State,16,UL-Lafayette,84,Texas State
Georgia Tech,35.1,Miami (FL),64.9,Miami (FL)
Clemson,78.5,Syracuse,21.5,Clemson
Washington State,82.1,California,17.9,Washington State
Boston College,7.6,Louisville,92.4,Louisville
Florida State,79.3,Duke,20.7,Florida State
Virginia,17.4,North Carolina,82.6,North Carolina
NC State,50.4,Pittsburgh,49.6,NC State
Massachusetts,6.6,USF,93.4,USF
East Carolina,20.7,UCF,79.3,UCF
Connecticut,23.5,Temple,76.5,Temple
Houston,60.6,Tulsa,39.4,Houston
Navy,57.8,Memphis,42.2,Memphis
Oklahoma,71.2,Texas,28.8,Oklahoma
Baylor,10.5,Oklahoma State,89.5,Oklahoma State
Kansas,40.4,Iowa State,59.6,Kansas
Texas Tech,17.9,West Virginia,82.1,West Virginia
TCU,26.1,Kansas State,73.9,TCU
Michigan,82.7,Indiana,17.4,Michigan
Northwestern,78.7,Maryland,21.3,Maryland
Rutgers,20.9,Illinois,79.1,Illinois
Michigan State,33.9,Minnesota,66.1,Michigan State
Purdue,12.7,Wisconsin,87.3,Wisconsin
Ohio State,66.9,Nebraska,33.1,Nebraska
UTSA,67,North Texas,33,UTSA
Old Dominion,34.4,Marshall,65.6,Marshall
Charlotte,6.7,Western Kentucky,93.3,Western Kentucky
Middle Tennessee,65.7,UAB,34.3,Middle Tennessee
Tulane,32.9,FIU,67.1,Tulane
UTEP,13.6,Southern Miss,86.4,UTEP
Eastern Michigan,11.7,Army,88.3,Army
Northern Illinois,39.7,Buffalo,60.3,Northern Illinois
Akron,16.7,Western Michigan,83.3,Western Michigan
Miami (OH),31.1,Kent State,68.9,Miami (OH)
Ohio,76.4,Bowling Green,23.6,Ohio
Toledo,24.6,Central Michigan,75.4,Central Michigan
Nevada,19.5,Colorado State,80.5,Colorado State
New Mexico,61.4,Fresno State,38.6,Fresno State
Wyoming,82.1,Utah State,17.9,Wyoming
San Jose State,22,Hawaii,78,Hawaii
UNLV,47.6,Air Force,52.4,Air Force
Boise State,55.3,San Diego State,44.7,Boise State
Colorado,83.8,Oregon State,16.2,Colorado
Utah,33.1,USC,66.9,USC
Oregon,35.4,Stanford,64.6,Stanford
Washington,79,Arizona State,21,Washington
UCLA,55.6,Arizona,44.4,UCLA
Texas A&M,23.3,Florida,76.7,Florida
South Carolina,25.5,Tennessee,74.5,Tennessee
Arkansas,32.2,Alabama,67.8,Alabama
Vanderbilt,49.1,Ole Miss,50.9,Vanderbilt
Auburn,42.9,LSU,57.1,LSU
BYU,48.3,Mississippi State,51.7,BYU
Missouri,14.8,Georgia,85.2,Georgia
Coastal Carolina,54,Arkansas State,46,Arkansas State
Appalachian State,83,Idaho,17,Appalachian State
Georgia State,71.7,UL-Monroe,28.3,Georgia State
New Mexico State,14.2,Georgia Southern,85.8,Georgia Southern
UL-Lafayette,50.3,Arkansas State,49.7,Arkansas State
Memphis,32.5,Houston,67.5,Houston
Western Kentucky,75,Old Dominion,25,Western Kentucky
Marshall,24,Middle Tennessee,76,Marshall
Air Force,56.5,Nevada,43.5,Air Force
Colorado State,81.9,New Mexico,18.1,Colorado State
North Carolina,19.4,Virginia Tech,80.6,North Carolina
Boston College,49.7,Virginia,50.3,Virginia
Pittsburgh,60.9,Duke,39.1,Pittsburgh
Wake Forest,28,Georgia Tech,72,Georgia Tech
Louisville,28.1,Florida State,71.9,Florida State
Syracuse,16.3,Miami (FL),83.7,Miami (FL)
Tulsa,82.4,Connecticut,17.6,Tulsa
USF,87.5,Tulane,12.5,USF
UCF,42,Navy,58,Navy
SMU,63.2,Cincinnati,36.8,Cincinnati
BYU,81.1,East Carolina,18.9,BYU
Oklahoma,63.2,Kansas State,36.8,Kansas State
West Virginia,82.4,Baylor,17.6,West Virginia
Kansas,24,TCU,76,TCU
Oklahoma State,66.6,Texas,33.4,Oklahoma State
Iowa State,35.3,Texas Tech,64.7,Texas Tech
Purdue,53.5,Rutgers,46.5,Rutgers
Maryland,13.2,Wisconsin,86.8,Wisconsin
Iowa,50.1,Northwestern,49.9,Northwestern
Indiana,27.6,Michigan State,72.4,Michigan State
Illinois,14.6,Minnesota,85.4,Minnesota
Michigan,37.3,Penn State,62.7,Penn State
Rice,19.6,UTSA,80.4,UTSA
North Texas,31.7,FAU,68.3,FAU
UAB,76.2,Charlotte,23.8,UAB
Southern Miss,59.7,Louisiana Tech,40.3,Louisiana Tech
Temple,28.6,Army,71.4,Temple
Georgia Southern,85.7,Massachusetts,14.3,Georgia Southern
USC,73.1,Notre Dame,26.9,USC
Akron,54.9,Toledo,45.1,Toledo
Buffalo,25.2,Miami (OH),74.8,Miami (OH)
Kent State,13.6,Ohio,86.4,Kent State
Western Michigan,76.5,Eastern Michigan,23.5,Western Michigan
Central Michigan,85.5,Ball State,14.5,Central Michigan
Northern Illinois,73.1,Bowling Green,26.9,Northern Illinois
Utah State,22.3,UNLV,77.7,UNLV
Wyoming,50.6,Boise State,49.4,Boise State
Fresno State,18,San Diego State,82,San Diego State
Arizona,66.1,California,33.9,Arizona
Colorado,38.6,Washington State,61.4,Colorado
Oregon,52.3,UCLA,47.7,UCLA
Arizona State,17.6,Utah,82.4,Utah
Kentucky,59,Mississippi State,41,Mississippi State
Tennessee,26.1,Alabama,73.9,Alabama
Idaho,21.4,Missouri,78.6,Missouri
Auburn,60.4,Arkansas,41.8,Auburn
LSU,84,Ole Miss,16,LSU
Troy,57.7,Georgia State,42.3,Troy
UL-Monroe,16,South Alabama,84,South Alabama
Coastal Carolina,15.2,Appalachian State,84.8,Appalachian State
Eastern Michigan,14.2,Northern Illinois,85.8,Northern Illinois
Toledo,79.2,Ball State,20.8,Toledo
South Alabama,58.5,Georgia State,41.5,South Alabama
Stanford,83.4,Oregon State,16.6,Stanford
Florida State,84,Boston College,16,Florida State
Tulane,8.4,Memphis,91.6,Memphis
Tulsa,53.5,SMU,46.5,SMU
Miami (FL),64.9,North Carolina,35.1,Miami (FL)
Louisville,85.9,Wake Forest,14.1,Louisville
Georgia Tech,22.5,Clemson,77.5,Clemson
Duke,16,Virginia Tech,84,Virginia Tech
Virginia,11.4,Pittsburgh,88.6,Pittsburgh
Missouri,81.8,Connecticut,18.2,Missouri
Cincinnati,26.3,USF,73.7,USF
East Carolina,10.2,Houston,89.8,Houston
Kansas State,84.9,Kansas,15.1,Kansas State
Texas Tech,12.7,Oklahoma,87.3,Oklahoma
Texas,74.3,Baylor,25.7,Texas
TCU,84.8,Iowa State,15.2,Iowa State
Oklahoma State,54.9,West Virginia,45.1,West Virginia
Wisconsin,85.7,Illinois,14.3,Wisconsin
Rutgers,14.2,Michigan,85.8,Michigan
Michigan State,34.1,Northwestern,65.9,Northwestern
Nebraska,81.2,Purdue,18.8,Purdue
Minnesota,45.1,Iowa,54.9,Iowa
Penn State,34.1,Ohio State,65.9,Ohio State
Indiana,40,Maryland,60,Indiana
Old Dominion,71.4,North Texas,28.6,North Texas
UAB,39.1,Southern Miss,60.9,UAB
FIU,12.4,Marshall,87.6,Marshall
Louisiana Tech,74.2,Rice,25.8,Louisiana Tech
FAU,17.2,Western Kentucky,82.8,Western Kentucky
UTSA,61.5,UTEP,38.5,UTSA
Appalachian State,93.6,Massachusetts,6.4,Appalachian State
