Team,Opponent,Score
Maine Black Bears,Connecticut Huskies,0.527740422
Georgia State Panthers,Ball State Cardinals,0.5208602
Minnesota Golden Gophers,Oregon State Beavers,0.512903691
Wyoming Cowboys,Northern Illinois Huskies,0.510124817
Tennessee-Martin Skyhawks,Cincinnati Bearcats,0.506857625
Maryland Terrapins,UCF Knights,0.505906108
Iowa State Cyclones,Northern Iowa Panthers,0.504947249
Northern Iowa Panthers,Iowa State Cyclones,0.495052751
UCF Knights,Maryland Terrapins,0.494093892
Cincinnati Bearcats,Tennessee-Martin Skyhawks,0.493142375
Northern Illinois Huskies,Wyoming Cowboys,0.489875184
Oregon State Beavers,Minnesota Golden Gophers,0.487096309
Ball State Cardinals,Georgia State Panthers,0.479139804
Connecticut Huskies,Maine Black Bears,0.472259578
New Mexico Lobos,Rutgers Scarlet Knights,0.469739617
Texas State Bobcats,Ohio Bobcats,0.465316433
Duke Blue Devils,Wake Forest Demon Deacons,0.463348892
Hawaii Warriors,Tennessee-Martin Skyhawks,0.462974052
Tulane Green Wave,Navy Midshipmen,0.462425608
Georgia State Panthers,Wisconsin Badgers,0.45799315
Arkansas Razorbacks,Louisiana Tech Bulldogs,0.456699022
Temple Owls,Army Black Knights,0.453500129
Boston College Eagles,Georgia Tech Yellow Jackets,0.449554041
Michigan Wolverines,Colorado Buffaloes,0.447672447
North Carolina Tar Heels,Georgia Bulldogs,0.445217761
Notre Dame Fighting Irish,Texas Longhorns,0.442681446
Washington State Cougars,Eastern Washington Eagles,0.440428374
Northwestern Wildcats,Illinois State Redbirds,0.435611342
LSU Tigers,Wisconsin Badgers,0.434038838
North Carolina State Wolfpack,East Carolina Pirates,0.429181974
Cincinnati Bearcats,Houston Cougars,0.428503693
Western Michigan Broncos,Northwestern Wildcats,0.419938027
Georgia Southern Eagles,Louisiana-Monroe Warhawks,0.414345124
North Carolina A&T Aggies,Kent State Golden Flashes,0.409634195
Tulane Green Wave,Wake Forest Demon Deacons,0.409184658
BYU Cougars,Utah Utes,0.409089135
UCLA Bruins,Texas A&M Aggies,0.407597573
Florida State Seminoles,Mississippi Rebels,0.403278976
North Dakota State Bison,Iowa Hawkeyes,0.402546967
Syracuse Orange,USF Bulls,0.400056161
Oklahoma Sooners,Houston Cougars,0.39707971
Massachusetts Minutemen,Boston College Eagles,0.381210904
South Dakota State Jackrabbits,TCU Horned Frogs,0.37923431
Massachusetts Minutemen,Florida Gators,0.379080406
Florida International Golden Panthers,Massachusetts Minutemen,0.375021917
Buffalo Bulls,Albany Great Danes,0.37256843
Florida International Golden Panthers,Indiana Hoosiers,0.371709953
Troy Trojans,Clemson Tigers,0.366803069
Youngstown State Penguins,West Virginia Mountaineers,0.361986211
Southern Illinois Salukis,Florida Atlantic Owls,0.361879637
Arizona Wildcats,BYU Cougars,0.361782632
SMU Mustangs,Baylor Bears,0.35853717
Central Michigan Chippewas,Oklahoma State Cowboys,0.357300139
UTSA Roadrunners,Colorado State Rams,0.356678043
South Alabama Jaguars,Louisiana Ragin' Cajuns,0.355723586
Howard Bison,Rutgers Scarlet Knights,0.352524085
Texas Tech Red Raiders,Arizona State Sun Devils,0.348604828
Bowling Green Falcons,Middle Tennessee Blue Raiders,0.345571275
Connecticut Huskies,Virginia Cavaliers,0.345167872
Southern Miss Golden Eagles,Kentucky Wildcats,0.341769246
Eastern Washington Eagles,North Dakota State Bison,0.341440704
Ohio Bobcats,Tennessee Volunteers,0.341153572
Tennessee Volunteers,Appalachian State Mountaineers,0.332892842
Eastern Illinois Panthers,Miami (OH) RedHawks,0.330953517
Arizona Wildcats,Grambling State Tigers,0.33069795
Virginia Tech Hokies,Tennessee Volunteers,0.32979556
Auburn Tigers,Clemson Tigers,0.327991496
Liberty Flames,SMU Mustangs,0.31409378
New Mexico State Aggies,New Mexico Lobos,0.310341637
McNeese State Cowboys,Louisiana Ragin' Cajuns,0.307200904
South Carolina Gamecocks,Vanderbilt Commodores,0.306811691
UNLV Rebels,Central Michigan Chippewas,0.305260349
Kent State Golden Flashes,Penn State Nittany Lions,0.30467563
Montana State Bobcats,Idaho Vandals,0.303703248
Connecticut Huskies,Navy Midshipmen,0.301737904
California Golden Bears,San Diego State Aztecs,0.299665542
Arizona State Sun Devils,UTSA Roadrunners,0.298777025
TCU Horned Frogs,Arkansas Razorbacks,0.295964935
Southern University Jaguars,Louisiana-Monroe Warhawks,0.287471116
Illinois Fighting Illini,North Carolina Tar Heels,0.279027719
Elon Phoenix,Charlotte 49ers,0.274283645
San Jose State Spartans,Utah Utes,0.270321562
Nicholls State Colonels,Georgia Bulldogs,0.267748231
USC Trojans,Alabama Crimson Tide,0.26226173
Marshall Thundering Herd,Akron Zips,0.256144352
Florida Atlantic Owls,Miami (FL) Hurricanes,0.255475069
Liberty Flames,Virginia Tech Hokies,0.255160161
Villanova Wildcats,Pittsburgh Panthers,0.253482782
South Alabama Jaguars,Mississippi State Bulldogs,0.253049182
Sacramento State Hornets,Fresno State Bulldogs,0.250320589
Alabama State Hornets,UTSA Roadrunners,0.248981495
South Alabama Jaguars,Georgia Southern Eagles,0.245795036
Northern Arizona Lumberjacks,Arizona State Sun Devils,0.24454819
Middle Tennessee Blue Raiders,Vanderbilt Commodores,0.241438851
Virginia Military Institute Keydets,Akron Zips,0.241070648
Rice Owls,Baylor Bears,0.240624246
UC Davis Aggies,Oregon Ducks,0.239345412
Mercer Bears,Georgia Tech Yellow Jackets,0.239213921
James Madison Dukes,North Carolina Tar Heels,0.230845
North Dakota Fighting Sioux,Bowling Green Falcons,0.229687559
Jacksonville State Gamecocks,LSU Tigers,0.226562552
Tulsa Golden Hurricane,Ohio State Buckeyes,0.223134269
Georgia State Panthers,Air Force Falcons,0.217716832
Arkansas State Red Wolves,Toledo Rockets,0.21481529
Rice Owls,Army Black Knights,0.214505933
Fresno State Bulldogs,Nebraska Cornhuskers,0.209399067
USC Trojans,Stanford Cardinal,0.206776029
Bethune-Cookman Wildcats,North Texas Mean Green,0.202050158
Furman Paladins,Michigan State Spartans,0.200770192
Colgate Raiders,Syracuse Orange,0.199897337
UNLV Rebels,UCLA Bruins,0.199445102
Cal Poly Mustangs,Nevada Wolf Pack,0.196718491
Maine Black Bears,Toledo Rockets,0.193547684
South Dakota Coyotes,New Mexico Lobos,0.192979067
Penn State Nittany Lions,Pittsburgh Panthers,0.190654259
Abilene Christian Wildcats,Air Force Falcons,0.190334086
Hawaii Warriors,California Golden Bears,0.189145815
