Visitor,Visitor Score,Home,Home Score
 Arkansas,20, Kentucky,21
 Baylor,6, Oklahoma State,34
 California,27, Arizona,42
 Colorado State,16, Utah,49
 Connecticut,10, Rutgers,12
 Florida Atlantic,24, Western Kentucky,20
 Florida International,23, Troy,33
 Georgia Tech,21, Clemson,17
 Houston,44, SMU,38
 Idaho,14, Louisiana Tech,46
 Indiana,13, Illinois,55
 Kansas State,13, Colorado,14
 Kansas,31, Oklahoma,45
 LSU,24, South Carolina,17
 Marshall,21, UAB,23
 Memphis,10, East Carolina,30
 Miami (Ohio),27, Bowling Green,20
 Miami (Florida),49, Duke,31
 Michigan,17, Penn State,46
 Middle Tennessee,23, Louisville,42
 Mississippi State,3, Tennessee,34
 Mississippi,20, Alabama,24
 Missouri,31, Texas,56
 North Carolina,13, Virginia,16
 Nebraska,35, Iowa State,7
 North Texas,23, Louisiana-Monroe,35
 Ohio State,45, Michigan State,7
 Oregon State,34, Washington,13
 Pittsburgh,42, Navy,21
 Purdue,26, Northwestern,48
 San Diego State,7, New Mexico,70
 San Jose State,31, New Mexico State,14
 USC,69, Washington State,0
 Southern Mississippi,40, Rice,45
 Stanford,20, UCLA,23
 Syracuse,13, South Florida,45
 Texas Tech,43, Texas A&M,25
 UTEP,35, Tulsa,77
 Toledo,7, Northern Illinois,38
 Air Force,29, UNLV,28
 Army,24, Buffalo,27
 Utah State,17, Nevada,44
 Vanderbilt,14, Georgia,24
 Virginia Tech,23, Boston College,28
 Wake Forest,0, Maryland,26
 Western Michigan,28, Central Michigan,38
 Wisconsin,16, Iowa,38
 Ohio,10, Temple,14
 Auburn,17, West Virginia,34
 New Mexico,10, Air Force,23
 Boise State,33, San Jose State,16
 Alabama,29, Tennessee,9
 Baylor,20, Nebraska,32
 Boston College,24, North Carolina,45
 Bowling Green,13, Northern Illinois,16
 Fresno State,30, Utah State,28
 UCLA,20, California,41
 Central Michigan,24, Toledo,23
 Cincinnati,16, Connecticut,40
 Colorado State,38, San Diego State,34
 Colorado,0, Missouri,58
 Duke,10, Vanderbilt,7
 Eastern Michigan,16, Ball State,38
 Florida Atlantic,29, Louisiana-Monroe,28
 Georgia,52, LSU,38
 Illinois,17, Wisconsin,27
 Kent State,54, Miami (Ohio),21
 Kentucky,5, Florida,63
 Louisiana Tech,7, Army,14
 Michigan State,35, Michigan,21
 Middle Tennessee,22, Mississippi State,31
 Minnesota,17, Purdue,6
 Mississippi,23, Arkansas,21
 UNLV,35, BYU,42
 Nevada,31, Hawai'i,38
 New Mexico State,14, Idaho,20
 North Carolina State,24, Maryland,27
 Northwestern,19, Indiana,21
 Notre Dame,33, Washington,7
 Oklahoma State,24, Texas,28
 Oklahoma,58, Kansas State,35
 Oregon,54, Arizona State,20
 Penn State,13, Ohio State,6
 Rice,42, Tulane,17
 Rutgers,54, Pittsburgh,34
 South Florida,20, Louisville,24
 USC,17, Arizona,10
 SMU,7, Navy,34
 Southern Mississippi,30, Memphis,36
 Texas A&M,49, Iowa State,35
 Texas Tech,63, Kansas,21
 Troy,45, North Texas,17
 Virginia Tech,20, Florida State,30
 Virginia,24, Georgia Tech,17
 Wake Forest,10, Miami (Florida),16
 Wyoming,7, TCU,54
 UCF,19, Tulsa,49
 Buffalo,32, Ohio,19
 Houston,23, Marshall,37
 South Florida,10, Cincinnati,24
 UAB,14, Southern Mississippi,70
 Arizona State,25, Oregon State,27
 Arkansas State,0, Alabama,35
 Auburn,7, Mississippi,17
 Boise State,49, New Mexico State,0
 BYU,45, Colorado State,42
 Fresno State,35, Louisiana Tech,38
 Central Michigan,37, Indiana,34
 Clemson,27, Boston College,21
 Colorado,17, Texas A&M,24
 Duke,30, Wake Forest,33
 Eastern Michigan,10, Western Michigan,31
 Florida International,20, Louisiana-Lafayette,49
 Florida State,28, Georgia Tech,31
 Florida,49, Georgia,10
