Team,CONF.W,CONF.L,OVERALL.W,OVERALL.L,Score,Rank,Games
Arizona,0,0,1,1,1696.723261,61,2
Boise State,0,0,2,0,1695.734293,62,2
South Carolina,1,1,1,1,1694.486791,63,2
Texas State,0,0,1,0,1690.213436,64,1
Southern Miss,0,0,2,0,1685.708915,65,2
South Alabama,0,1,1,1,1680.710608,66,2
SMU,0,0,1,1,1677.15842,67,2
California,0,0,1,1,1667.955145,68,2
North Carolina State,0,0,1,1,1663.79086,69,2
Boston College,0,1,1,1,1657.081513,70,2
Air Force,0,0,2,0,1652.153929,71,2
Nicholls,0,0,0,1,1638.817537,72,1
Texas Tech,0,0,1,1,1638.571486,73,2
E Washington,0,0,1,0,1617.504011,74,1
Navy,0,0,2,0,1615.875338,75,2
Mississippi State,1,0,1,1,1601.11864,76,2
Wake Forest,1,0,2,0,1599.14192,77,2
Vanderbilt,0,1,1,1,1599.051975,78,2
Northwestern,0,0,0,2,1584.149858,79,2
North Carolina,0,0,1,1,1576.911868,80,2
Oregon State,0,0,0,1,1564.036462,81,1
UTEP,0,0,1,1,1562.785511,82,2
Western Michigan,0,0,2,0,1560.636643,83,2
Utah State,0,0,1,1,1531.220909,84,2
Tulane,0,0,1,1,1526.812935,85,2
Virginia Tech,0,0,1,1,1526.142181,86,2
Syracuse,0,1,1,1,1526.114152,87,2
Akron,0,0,1,1,1521.216211,88,2
Fresno State,0,0,1,1,1516.687903,89,2
Rutgers,0,0,1,1,1515.124281,90,2
Ohio,0,0,1,1,1508.752322,91,2
UCF,0,0,1,1,1497.074973,92,2
Illinois,0,0,1,1,1490.582285,93,2
Washington State,0,0,0,2,1490.153025,94,2
Duke,0,1,1,1,1488.167307,95,2
Charlotte,0,0,1,1,1476.850078,96,2
Bowling Green,0,0,1,1,1464.017192,97,2
Purdue,0,0,1,1,1451.07172,98,2
Middle Tennessee,0,0,1,1,1445.463012,99,2
Northern Iowa,0,0,1,0,1437.890387,100,1
Temple,0,0,1,1,1434.852751,101,2
Ball State,0,0,1,1,1425.987674,102,2
Wyoming,0,0,1,1,1420.202561,103,2
Connecticut,0,0,1,1,1410.16065,104,2
UNLV,0,0,1,1,1404.614994,105,2
Colorado State,0,0,1,1,1403.890563,106,2
North Dakota,0,0,0,1,1396.563242,107,1
Albany (N.Y.),0,0,1,0,1379.387542,108,1
Nevada,0,0,1,1,1378.106314,109,2
Maine,0,0,0,2,1376.420905,110,2
Kentucky,0,1,0,2,1369.361607,111,2
Illinois State,0,0,1,0,1363.689541,112,1
New Mexico,0,0,1,1,1343.374582,113,2
San Jose State,0,0,1,1,1342.799022,114,2
Florida Atlantic,0,0,1,1,1333.769739,115,2
Iowa State,0,0,0,2,1330.465177,116,2
UTSA,0,0,1,1,1328.962771,117,2
Grambling St,0,0,0,1,1326.610071,118,1
Arkansas State,0,0,0,2,1320.252887,119,2
Louisiana-Monroe,0,0,1,1,1319.92602,120,2
Old Dominion,0,0,1,1,1313.849732,121,2
Kansas,0,0,1,1,1293.19462,122,2
North Texas,0,0,1,1,1277.24446,123,2
North Carolina A&T,0,0,1,0,1277.024533,124,1
Northern Illinois,0,0,0,2,1267.672457,125,2
Furman,0,0,0,1,1266.202847,126,1
Kent State,0,0,0,2,1251.734603,127,2
Louisiana-Lafayette,0,0,1,1,1251.653273,128,2
Eastern Michigan,0,0,1,1,1249.258941,129,2
Rice,0,1,0,2,1246.731778,130,2
Buffalo,0,0,0,1,1239.218961,131,1
E Illinois,0,0,1,0,1237.321546,132,1
Youngstown St,0,0,0,1,1233.873811,133,1
Lamar,0,0,0,1,1207.974552,134,1
Charleston So,0,0,0,1,1206.772614,135,1
UC Davis,0,0,0,1,1203.601115,136,1
Northwestern St,0,0,0,1,1201.894294,137,1
Prairie View,0,0,0,1,1200.146288,138,1
South Dakota St,0,0,0,1,1199.023122,139,1
Cal Poly,0,0,0,1,1198.540932,140,1
Hawaii,0,0,1,2,1193.386589,141,3
Idaho,0,0,1,1,1191.150387,142,2
N Arizona,0,0,0,1,1189.444074,143,1
Massachusetts,0,0,0,2,1187.380612,144,2
Jacksonville St,0,0,0,1,1184.785875,145,1
Idaho State,0,0,0,1,1178.813177,146,1
Wofford,0,0,0,1,1176.408684,147,1
Southern Utah,0,0,0,1,1176.292034,148,1
SE Louisiana,0,0,0,1,1175.914482,149,1
Miami (OH),0,0,0,2,1171.348029,150,2
Florida A&M,0,0,0,1,1171.231301,151,1
Villanova,0,0,0,1,1168.477788,152,1
McNeese,0,0,0,1,1163.677643,153,1
Montana State,0,0,0,1,1162.070898,154,1
Indiana State,0,0,0,1,1161.878675,155,1
