"Team","Score","Previous.Score","Rank"
"Kentucky",1541.49887588338,1541.49887588338,81
"Louisiana-Lafayette",976.774759045245,976.774759045245,118
"Louisiana-Monroe",916.079234629624,916.079234629624,125
"Louisiana Tech",1881.98461446377,1881.98461446377,33
"Louisville",2043.23662987818,2043.23662987818,16
"LSU",1947.97511095404,1947.97511095404,24
"Marshall",2242.85217363628,2242.85217363628,7
"Maryland",1795.48720666605,1795.48720666605,48
"Massachusetts",982.37934373584,982.37934373584,117
"Memphis",2273.74584663628,2273.74584663628,6
"Miami (FL)",1832.82534035303,1832.82534035303,37
"Miami (OH)",1339.86819172295,1339.86819172295,96
"Michigan",1916.6942123369,1916.6942123369,27
"Michigan State",2623.45617128835,2623.45617128835,2
"Middle Tennessee",942.057552645289,942.057552645289,121
"Minnesota",1683.59190281784,1683.59190281784,67
"Mississippi State",1750.18203530089,1750.18203530089,56
"Missouri",1592.4249477235,1592.4249477235,75
"Navy",1743.27057297785,1743.27057297785,58
"Nebraska",2378.46222167461,2378.46222167461,5
"Nevada",959.761109284619,959.761109284619,119
"New Mexico",1130.83717464564,1130.83717464564,109
"New Mexico State",1098.47716330084,1098.47716330084,113
"North Carolina",1775.99293738965,1775.99293738965,50
"North Carolina State",1612.85012130341,1612.85012130341,72
"North Texas",1217.97385106998,1217.97385106998,105
"Northern Illinois",1416.8001063905,1416.8001063905,91
"Northwestern",1746.00088907198,1746.00088907198,57
"Notre Dame",1945.40135660815,1945.40135660815,25
"Ohio",1491.86149749806,1491.86149749806,86
"Ohio State",2526.73060823816,2526.73060823816,3
"Oklahoma",1805.13461797868,1805.13461797868,43
"Oklahoma State",1736.87693105362,1736.87693105362,60
"Old Dominion",879.037862845912,879.037862845912,126
"Ole Miss",1883.24723560464,1883.24723560464,32
"Oregon",2070.54671188954,2070.54671188954,13
"Oregon State",1569.39087718216,1569.39087718216,78
"Penn State",1742.56658299308,1742.56658299308,59
"Pittsburgh",1784.60254620063,1784.60254620063,49
"Purdue",1343.66731842358,1343.66731842358,95
"Rice",1011.20804347703,1011.20804347703,114
"Rutgers",1291.78263373852,1291.78263373852,100
"San Diego State",1669.69206674096,1669.69206674096,69
"San Jose State",947.419786458807,947.419786458807,120
"SMU",1386.17728562644,1386.17728562644,93
"South Alabama",1713.02071595306,1713.02071595306,64
"South Carolina",1759.64113873866,1759.64113873866,54
"South Florida",2138.41972585809,2138.41972585809,8
"Southern Miss",1513.29354369817,1513.29354369817,84
"Stanford",1994.63754910074,1994.63754910074,20
"Syracuse",1276.31891315468,1276.31891315468,102
"TCU",1832.4241407439,1832.4241407439,38
"Temple",1124.38274756642,1124.38274756642,111
"Tennessee",1873.12841561318,1873.12841561318,34
"Texas",1849.27230652428,1849.27230652428,35
"Texas A&M",1900.17219058702,1900.17219058702,28
"Texas State",1507.46737536961,1507.46737536961,85
"Texas Tech",1718.74106286986,1718.74106286986,63
"Toledo",2081.92736795969,2081.92736795969,11
"Troy",1798.41117819903,1798.41117819903,47
"Tulane",1643.72849231237,1643.72849231237,70
"Tulsa",1766.20967616096,1766.20967616096,52
"UCF",1344.87509093477,1344.87509093477,94
"UCLA",1845.13256664611,1845.13256664611,36
"UNLV",922.727651405928,922.727651405928,124
"USC",1898.24410068073,1898.24410068073,29
"Utah",1805.05289084106,1805.05289084106,45
"Utah State",1100.22953394121,1100.22953394121,112
"UTEP",1559.04825405035,1559.04825405035,80
"UTSA",1129.64572441315,1129.64572441315,110
"Vanderbilt",1572.76689913757,1572.76689913757,77
"Virginia",1579.81021918288,1579.81021918288,76
"Virginia Tech",1332.61928820745,1332.61928820745,98
"Wake Forest",1527.29430757063,1527.29430757063,82
"Washington",2073.8625181431,2073.8625181431,12
"Washington State",1700.71358976885,1700.71358976885,65
"West Virginia",1972.61933424729,1972.61933424729,22
"Western Kentucky",1811.61374513742,1811.61374513742,42
"Western Michigan",1484.19743492801,1484.19743492801,87
"Wisconsin",1893.02344485004,1893.02344485004,30
"Wyoming",1519.4039129053,1519.4039129053,83
