"TEAM","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Florida International",1,0,1,4,0.982247931351517,0.529121052730947,0.555162725793658,0.635450535841875,31,0.836601100559108,115
"Florida State",0,2,3,2,1.00947282299374,0.579519043919288,0.680314784816777,0.771811366109086,12,2.24786540810527,35
"Fresno State",0,1,1,4,0.982557525002033,0.474695328096661,0.579679158010124,0.488191948266609,60,0.844894389597918,113
"Georgia",1,2,3,2,1.025,0.537467693246741,0.571515651678998,0.658033873070977,27,2.24526784765699,38
"Georgia Southern",2,0,3,1,0.975,0.45850292444746,0.453418751464729,0.444380487659472,79,2.09736109422604,62
"Georgia State",0,1,0,4,0.975,0.632477586850707,0.743635673392863,0.915100229684678,2,0.241681593852681,125
"Georgia Tech",1,2,3,2,1.00947282299374,0.533942843952127,0.606925867956744,0.648496759288325,29,2.22317070241222,40
"Hawaii",1,0,2,3,0.982557525002033,0.463824638110254,0.486933775653041,0.458779341192961,73,1.46955684848456,99
"Houston",2,0,5,0,0.995521759117377,0.467956815558159,0.398596383695985,0.469959690534703,70,3.45067632141621,8
"Idaho",0,1,2,3,0.975,0.48572951593869,0.541087050584205,0.518046928197071,51,1.47585329143987,98
"Illinois",0,1,1,3,1.02003770631759,0.583883811506077,0.703135242642874,0.783621029907663,10,0.919099957590557,106
"Indiana",1,0,3,1,1.02003770631759,0.499923051052712,0.52625042533486,0.556450090444984,42,2.21900717157092,41
"Iowa",1,1,3,2,1.02003770631759,0.414676122130177,0.354002845759818,0.32579919084532,106,2.16044082957475,50
"Iowa State",0,2,1,4,1.0199203187251,0.532043277613145,0.638081327750224,0.64335714088244,30,0.896877582873914,108
"Kansas",0,1,1,3,1.0199203187251,0.432697917974818,0.525634140474302,0.37456040109074,96,0.858648525845181,112
"Kansas State",0,1,2,2,1.0199203187251,0.482533276285241,0.495644006613877,0.50939892690574,54,1.5283995560334,84
"Kent State",0,1,1,4,0.984925005858917,0.478371998010375,0.52059552546118,0.498139840042274,58,0.827532520894271,118
"Kentucky",1,2,2,3,1.025,0.587888483514508,0.656909669016243,0.794456390348456,9,1.59111080358055,74
"Louisiana-Lafayette",1,0,2,3,0.975,0.473397044574991,0.582974116094492,0.484679208675948,62,1.48946658773071,95
"Louisiana-Monroe",0,1,1,3,0.975,0.456644067176703,0.464052539840637,0.439351014960027,81,0.800817075448207,124
"Louisiana Tech",1,1,2,3,0.982247931351517,0.45506421086021,0.513437634079068,0.435076429526358,82,1.47777159311942,97
"Louisville",2,1,4,1,1.00947282299374,0.513340549203742,0.492191443019132,0.592753545103441,39,2.85754548979593,18
"LSU",2,1,3,2,1.025,0.459269969666122,0.470706033010814,0.446455866467299,78,2.21082456127869,42
"Marshall",0,0,1,3,0.982247931351517,0.459362790306051,0.501054238926646,0.446707009404313,77,0.818885117461214,119
"Maryland",1,0,4,0,1.02003770631759,0.393803452784864,0.325945373724881,0.269324429556059,111,2.83092607397995,22
"Massachusetts",0,0,1,4,0.984925005858917,0.517626420775851,0.546389267107395,0.604349741543242,35,0.836000821274945,116
"Memphis",0,0,3,1,0.995521759117377,0.328456154174677,0.266741270213265,0.0925155591210448,124,2.07955909775206,66
