"TEAM","Points.For","Points.Against","Conf.Points.For","Conf.Points.Against","CONF.W","CONF.L","OVERALL.W","OVERALL.L","ConferenceOffset","Adjusted.SoS","First.Pass.SoS","SoS.Score","SoS.Ranking","Value","Rank"
"Charlotte",100,169,0,0,0.75,0.75,0.223808826419703,0.776191173580297,0.982247931351517,0.50099054397777,0.578905412922991,0.559530162300246,48,0.336100052609911,117
"Cincinnati",109,87,16,40,0.102329136333056,0.897670863666944,0.630483651117702,0.369516348882298,0.995521759117377,0.448147594460416,0.505492177057997,0.421553421374432,87,0.586182949411911,59
"Clemson",134,44,26,7,0.957298521879124,0.042701478120876,0.933351597206946,0.0666484027930539,1.00947282299374,0.519344899491624,0.571596835194851,0.607454704338985,38,0.820465871398285,2
"Colorado",169,97,41,38,0.544900367753095,0.455099632246905,0.788481242588585,0.211518757411415,1.02160816194681,0.524409814767129,0.521607452317938,0.620679562322167,33,0.714638725520401,22
"Colorado State",101,110,0,0,0.75,0.75,0.44959607678112,0.55040392321888,0.982557525002033,0.457576116927377,0.517912341883789,0.446171971504946,81,0.464128895238235,94
"Connecticut",85,90,0,0,0.75,0.75,0.46618533474572,0.53381466525428,0.995521759117377,0.449778459801973,0.411466440583503,0.425811728050578,85,0.44593969459634,99
"Duke",114,89,14,24,0.217989425732534,0.782010574267466,0.642612696362418,0.357387303637582,1.00947282299374,0.502717123729535,0.454110238459568,0.564038386183903,46,0.585270683248439,60
"East Carolina",117,111,0,0,0.75,0.75,0.531151013301645,0.468848986698355,0.995521759117377,0.460719953508965,0.523238320480031,0.454380754880832,77,0.526146638493321,76
"Eastern Michigan",146,118,0,0,0.75,0.75,0.623545637525226,0.376454362474774,0.984925005858917,0.428917673358727,0.400301056399299,0.37134271462726,96,0.540852633901693,72
"Florida",129,52,73,45,0.758889121037685,0.241110878962315,0.895977472611939,0.104022527388061,1.025,0.490133498938597,0.458949236818608,0.531181637014052,56,0.769058928864516,8
"Florida Atlantic",82,162,0,0,0.75,0.75,0.166078500913966,0.833921499086034,0.982247931351517,0.550823284294674,0.722972247051063,0.689647030550962,20,0.345466174006624,115
"Florida International",54,149,0,0,0.75,0.75,0.0827572485347606,0.917242751465239,0.982247931351517,0.570564664581488,0.632606833896852,0.741193194007589,14,0.261317675436413,128
"Florida State",172,140,20,63,0.0618415254069984,0.938158474593002,0.619604381715538,0.380395618284462,1.00947282299374,0.504559731492988,0.595091521536266,0.568849567549212,44,0.617225428961401,51
"Fresno State",99,146,0,0,0.75,0.75,0.284812505789819,0.715187494210181,0.982557525002033,0.500810525718062,0.618392163540759,0.55906012167972,49,0.389098405082068,109
"Georgia",101,120,42,72,0.217989425732534,0.782010574267466,0.399267097080406,0.600732902919594,1.025,0.554028879849133,0.657497562772532,0.698017071045869,18,0.497477516952226,87
"Georgia Southern",132,79,47,30,0.743456501003492,0.256543498996508,0.771473323872813,0.228526676127187,0.975,0.424929824884842,0.387035469548645,0.360930155510892,98,0.627244188120638,44
"Georgia State",52,102,0,0,0.75,0.75,0.168438024636232,0.831561975363768,0.975,0.648441880108477,0.80328020730379,0.944536203603642,2,0.370550783387282,113
"Georgia Tech",97,57,24,40,0.22958487107056,0.77041512892944,0.779031877023412,0.220968122976588,1.00947282299374,0.462503540220566,0.482078608514948,0.459037828035775,75,0.686489423348116,28
"Hawaii",103,197,0,0,0.75,0.75,0.176988540804961,0.823011459195039,0.982557525002033,0.521044308763257,0.583052924637249,0.611891984145291,37,0.306895294596953,120
"Houston",179,42,40,16,0.897670863666944,0.102329136333056,0.968805659942951,0.0311943400570493,0.995521759117377,0.441635267678365,0.324172568900683,0.404549267869789,90,0.75055169190272,13
"Idaho",73,162,0,0,0.75,0.75,0.131334064551637,0.868665935448363,0.975,0.515391274317195,0.629286985810065,0.597131504718364,39,0.289885412346835,123
"Illinois",85,85,0,0,0.75,0.75,0.5,0.5,1.02003770631759,0.475879024575115,0.509613021812987,0.493962179465834,66,0.513287401399093,79
"Indiana",92,66,0,0,0.75,0.75,0.687220598235432,0.312779401764567,1.02003770631759,0.490213863072085,0.493686443837975,0.531391473545269,55,0.635186877776372,41
"Iowa",122,54,14,7,0.837909980755396,0.162090019244604,0.873430576128205,0.126569423871795,1.02003770631759,0.4146617234648,0.388945675920806,0.33411940436295,102,0.726201166050443,19
"Iowa State",87,118,20,41,0.154298123235129,0.845701876764871,0.326882237703745,0.673117762296255,1.0199203187251,0.523431518750721,0.600029940544238,0.618125161077771,34,0.426256800111079,103
"Kansas",83,86,0,0,0.75,0.75,0.478974692949428,0.521025307050572,1.0199203187251,0.412682096270629,0.521763374776846,0.328950455411487,104,0.503063036829986,85
"Kansas State",111,33,0,0,0.75,0.75,0.946589777420441,0.0534102225795586,1.0199203187251,0.459605380013217,0.344045040611638,0.451470523338681,79,0.760596940817856,10
"Kent State",76,127,0,0,0.75,0.75,0.228485030525438,0.771514969474562,0.984925005858917,0.402834332536441,0.405138599988536,0.303237236186198,111,0.283037459341755,125
"Kentucky",121,141,24,55,0.122884685579799,0.877115314420201,0.410345484817727,0.589654515182273,1.025,0.540846739857816,0.587053855064192,0.663597555650871,24,0.480979481772379,92
"Louisiana-Lafayette",107,131,28,23,0.614484758723486,0.385515241276514,0.382343438636954,0.617656561363046,0.975,0.483787967996177,0.528815232968213,0.514612999440339,61,0.420388185828689,105
"Louisiana-Monroe",76,103,21,23,0.446307052178037,0.553692947821963,0.327289563341553,0.672710436658447,0.975,0.440449594945564,0.468769785722453,0.401453391107216,91,0.365088396531807,114
"Louisiana Tech",152,142,34,38,0.434477786898731,0.565522213101268,0.540234495088879,0.459765504911121,0.982247931351517,0.451175434488571,0.516492628365555,0.429459329408433,83,0.52287074875398,77
"Louisville",254,90,125,48,0.906222266792353,0.0937777332076467,0.921212275863756,0.0787877241362441,1.00947282299374,0.471411113739595,0.43431638020172,0.482296143003775,69,0.766102698593333,9
