TEAM,WIN.PERC,WIN.MULT,SoS.MULT,SIM.WINS,SIM.LOSSES,SIM.PERC,RANK.SCORE,RANK,SIMURANK,ALT.RANK.SCORE,ALT.RANK
Colorado State,0.475610885,0.737805443,0.867613012,2580,3770,0.406299213,0.260084153,81,83,0.410530533,82
Tulane,0.515866156,0.757933078,0.824901379,2266,4084,0.356850394,0.223110018,89,90,0.4026426,83
South Carolina,0.394954721,0.69747736,0.888832046,3128,3222,0.492598425,0.305381581,71,66,0.39823175,84
New Mexico,0.60344072,0.80172036,0.755840534,1732,4618,0.272755906,0.165282645,105,106,0.394988606,85
Georgia Southern,0.557874271,0.778937135,0.813422834,1735,4615,0.273228346,0.173118915,103,105,0.393601229,86
Eastern Michigan,0.491190341,0.74559517,0.82808291,2189,4161,0.344724409,0.21283789,95,94,0.386072354,87
Virginia,0.371314624,0.685657312,0.907217928,3023,3327,0.476062992,0.296130512,74,71,0.383263187,88
Syracuse,0.399422808,0.699711404,0.878941157,2802,3548,0.441259843,0.271377076,79,76,0.381132711,89
North Texas,0.461302032,0.730651016,0.860396721,2157,4193,0.339685039,0.213542911,94,97,0.377830184,90
South Alabama,0.455018652,0.727509326,0.848243071,2241,4109,0.352913386,0.217784525,93,91,0.374948741,91
Michigan State,0.350493441,0.67524672,0.942667334,2907,3443,0.457795276,0.291401812,75,73,0.372864237,92
Utah State,0.444046141,0.722023071,0.854189547,2275,4075,0.358267717,0.220959665,91,89,0.372288954,93
Ball State,0.558062618,0.779031309,0.753665425,1692,4658,0.266456693,0.156444442,108,108,0.369213898,94
Iowa State,0.329727349,0.664863674,0.926276287,3117,3233,0.490866142,0.302298664,72,67,0.367234463,95
Akron,0.445854179,0.72292709,0.834460017,2240,4110,0.352755906,0.212801323,96,92,0.365616959,96
Boston College,0.446307052,0.723153526,0.852148425,2033,4317,0.32015748,0.197291969,98,101,0.360265728,97
Arkansas State,0.41577933,0.707889665,0.857060582,2321,4029,0.365511811,0.221757598,90,88,0.359402654,98
Oregon State,0.344618177,0.672309089,0.95046479,2626,3724,0.413543307,0.264256703,80,79,0.356212731,99
Georgia State,0.392432955,0.696216478,0.856260845,2345,4005,0.369291339,0.220150413,92,87,0.347113762,100
Cincinnati,0.429954253,0.714977126,0.823582137,2002,4348,0.315275591,0.185647632,101,102,0.341160292,101
Miami (OH),0.380326526,0.690163263,0.831001625,2169,4181,0.341574803,0.195902301,99,96,0.324559575,102
Hawaii,0.38424555,0.692122775,0.819294279,2133,4217,0.335905512,0.19047597,100,98,0.321841958,103
UNLV,0.472660088,0.736330044,0.791567796,1285,5065,0.202362205,0.117947853,114,114,0.316882404,104
Kent State,0.402293435,0.701146717,0.819270305,1837,4513,0.289291339,0.166177243,104,103,0.316155156,105
Arizona,0.320519822,0.660259911,0.894985512,2217,4133,0.349133858,0.206311246,97,93,0.307618351,106
Louisiana-Lafayette,0.402293435,0.701146717,0.795905142,1782,4568,0.280629921,0.156604483,107,104,0.307001583,107
Illinois,0.343250192,0.671625096,0.897702486,1702,4648,0.268031496,0.161601421,106,107,0.294768199,108
Marshall,0.418252118,0.709126059,0.809794059,1160,5190,0.182677165,0.104901644,115,118,0.286691109,109
Connecticut,0.275731352,0.637865676,0.86326273,2061,4289,0.324566929,0.178721373,102,100,0.26687471,110
Nevada,0.383294129,0.691647064,0.765826908,1115,5235,0.175590551,0.093007143,120,120,0.254221489,111
Massachusetts,0.316066224,0.658033112,0.838266555,1444,4906,0.227401575,0.125436335,112,113,0.252432355,112
Idaho,0.28330039,0.641650195,0.855214606,1638,4712,0.257952756,0.141551218,109,109,0.247506006,113
Purdue,0.29197041,0.645985205,0.856520754,1445,4905,0.227559055,0.125908365,111,112,0.242572162,114
Florida International,0.275172342,0.637586171,0.835480306,1168,5182,0.183937008,0.097981532,117,117,0.214579718,115
Charlotte,0.279903822,0.639951911,0.807608627,993,5357,0.156377953,0.080820924,121,121,0.202827812,116
Rice,0.236148635,0.618074317,0.884519246,1126,5224,0.177322835,0.096942151,118,119,0.19835962,117
San Jose State,0.270686215,0.635343108,0.83566626,888,5462,0.13984252,0.07424726,124,124,0.197416398,118
New Mexico State,0.19980187,0.599900935,0.863389949,1494,4856,0.235275591,0.121860625,113,110,0.193429814,119
Fresno State,0.235571801,0.617785901,0.858012583,927,5423,0.145984252,0.077381592,123,123,0.183410464,120
Rutgers,0.159934102,0.579967051,0.953459871,1459,4891,0.22976378,0.127053697,110,111,0.178248425,121
Buffalo,0.209387188,0.604693594,0.825964916,1196,5154,0.188346457,0.09407071,119,116,0.1780798,122
UTEP,0.192281781,0.59614089,0.869834504,1256,5094,0.197795276,0.102565537,116,115,0.177433977,123
Texas State,0.222249574,0.611124787,0.787641593,416,5934,0.065511811,0.031533933,128,128,0.138539276,124
Bowling Green,0.145430673,0.572715336,0.900034883,958,5392,0.150866142,0.077766032,122,122,0.1375505,125
Florida Atlantic,0.181599206,0.590799603,0.829236877,701,5649,0.110393701,0.054083289,126,125,0.137190406,126
Kansas,0.158005472,0.579002736,0.897479039,697,5653,0.10976378,0.05703796,125,126,0.131125659,127
Louisiana-Monroe,0.184345027,0.592172513,0.819162698,557,5793,0.087716535,0.042550031,127,127,0.129911225,128
