"TEAM","WIN.PERC","WIN.MULT","SoS.MULT","SIM.WINS","SIM.LOSSES","SIM.PERC","RANK.SCORE","RANK","SIMURANK","ALT.RANK.SCORE","ALT.RANK"
"East Carolina",0.409668218560469,0.704834109280234,0.880680262364562,11746,20004,0.369952755905512,0.229642064673659,91,88,0.363842061438008,91
"Eastern Michigan",0.564747582027866,0.782373791013933,0.828706869331208,11298,20452,0.355842519685039,0.23071353475297,89,92,0.430620973671468,79
"Florida",0.900051519406323,0.950025759703162,0.86697830388874,26592,5158,0.837543307086614,0.68984398696233,8,9,0.799397862167123,6
"Florida Atlantic",0.249260569193052,0.624630284596526,0.835952960841921,4986,26764,0.15703937007874,0.0819999186676607,122,121,0.191259863918296,120
"Florida International",0.269378360585538,0.634689180292769,0.826019616123136,5230,26520,0.164724409448819,0.0863593599785569,119,119,0.203249343151437,116
"Florida State",0.610090881844771,0.805045440922385,0.931157313591845,21329,10421,0.671779527559055,0.503582023037506,32,32,0.602653566909989,32
"Fresno State",0.238529189647362,0.619264594823681,0.858430343182933,4478,27272,0.14103937007874,0.0749758970878575,124,124,0.183520252778335,123
"Georgia",0.470485293602702,0.735242646801351,0.88358695742945,15193,16557,0.47851968503937,0.310870702546546,71,68,0.436649674406265,76
"Georgia Southern",0.64678452219266,0.82339226109633,0.828508403450565,11486,20264,0.361763779527559,0.246790694939189,86,90,0.477832201081438,71
"Georgia State",0.28917578576277,0.644587892881385,0.930037719800381,13630,18120,0.429291338582677,0.257356317085649,84,78,0.322393371802419,102
"Georgia Tech",0.616705871366942,0.808352935683471,0.893126791430598,16067,15683,0.506047244094488,0.365346710303045,60,63,0.535880105465074,55
"Hawaii",0.359050306493996,0.679525153246998,0.836967571009884,10399,21351,0.327527559055118,0.186278193253447,98,95,0.309518161616129,104
"Houston",0.872129940059205,0.936064970029603,0.844506835619152,24027,7723,0.756755905511811,0.598225582259627,21,22,0.743265099122684,15
"Idaho",0.300415595377222,0.650207797688611,0.864733472290701,9597,22153,0.302267716535433,0.16995197222285,103,100,0.273942186125693,109
"Illinois",0.496214116979262,0.748107058489631,0.863580934085745,9149,22601,0.288157480314961,0.186164426115344,99,103,0.381733193869977,84
"Indiana",0.51157810307609,0.755789051538045,0.924185851778452,19740,12010,0.621732283464567,0.434273501878318,44,40,0.522439591116576,62
"Iowa",0.756121052499126,0.878060526249563,0.824406518826289,20375,11375,0.641732283464567,0.464536409242369,35,36,0.629478177622905,28
"Iowa State",0.320355601999332,0.660177800999666,0.920604862127018,15408,16342,0.485291338582677,0.294942068112265,73,67,0.358377729401034,93
"Kansas",0.241381087525936,0.620690543762968,0.887418109942835,4868,26882,0.153322834645669,0.084452061674724,121,122,0.193911577194031,119
"Kansas State",0.720789131914477,0.860394565957238,0.874974207017653,19197,12553,0.604629921259842,0.455179343300751,36,44,0.621991239835822,30
"Kent State",0.385515241276514,0.692757620638257,0.805561021903339,7228,24522,0.227653543307087,0.127044003278175,111,110,0.282921882250376,107
"Kentucky",0.358232879425294,0.679116439712647,0.909064741536907,11092,20658,0.349354330708661,0.215677672842123,93,93,0.333556030199405,99
"Louisiana-Lafayette",0.313744123008995,0.656872061504497,0.839305625697047,7436,24314,0.234204724409449,0.129120909408447,109,108,0.25361971311704,110
"Louisiana-Monroe",0.280830966303837,0.640415483151919,0.841428197717341,5851,25899,0.184283464566929,0.0993036595732836,115,115,0.218960550749148,114
"Louisiana Tech",0.638268079212636,0.819134039606318,0.808697964165333,18168,13582,0.572220472440945,0.379057169285725,56,50,0.534850888314299,56
"Louisville",0.859954689331131,0.929977344665565,0.900004303726956,26675,5075,0.840157480314961,0.703198042999688,6,8,0.796027774377117,7
"LSU",0.843526785626876,0.921763392813438,0.911416722783752,24981,6769,0.786803149606299,0.661001643012878,12,16,0.774803995559673,13
"Marshall",0.436748241683384,0.718374120841692,0.831719026458181,5825,25925,0.183464566929134,0.109617404637539,114,116,0.303322737229862,105
"Maryland",0.738940575117009,0.869470287558505,0.839863090508566,17460,14290,0.54992125984252,0.401572302649982,50,54,0.597046363360806,35
"Massachusetts",0.22419762462908,0.61209881231454,0.900638905203631,8034,23716,0.25303937007874,0.139495544999624,107,106,0.218960525489706,115
"Memphis",0.849790642614997,0.924895321307498,0.824445200331127,25467,6283,0.802110236220472,0.611629515715534,18,14,0.73444062313365,17
"Miami (FL)",0.907363631331488,0.953681815665744,0.868751153090284,25288,6462,0.796472440944882,0.659887116000285,13,15,0.791006280975906,9
"Miami (OH)",0.251789370742779,0.625894685371389,0.848807657614243,7747,24003,0.244,0.129628465240003,108,107,0.223813830661562,113
"Michigan",0.976721149968759,0.988360574984379,0.930881652989199,30798,952,0.970015748031496,0.892459812941905,1,1,0.929479781738785,1
"Michigan State",0.374619653040619,0.687309826520309,0.903848636085883,13444,18306,0.423433070866142,0.26304680687779,82,81,0.3668773319232,89
"Middle Tennessee",0.70790421478936,0.85395210739468,0.804125739838066,18646,13104,0.587275590551181,0.403273262636979,49,48,0.575254530485047,43
"Minnesota",0.699973244553357,0.849986622276678,0.887878451770542,20125,11625,0.633858267716535,0.478363203937965,34,37,0.625613529675403,29
"Mississippi State",0.461588281789603,0.730794140894802,0.915852162644317,18720,13030,0.589606299212598,0.39462313898934,54,47,0.478366517156388,70
"Missouri",0.636875832450536,0.818437916225268,0.932657365769472,16928,14822,0.533165354330709,0.406976925102403,47,57,0.573713075587274,44
"Navy",0.65867574869919,0.829337874349595,0.87502100006966,16536,15214,0.520818897637795,0.377952053463701,58,61,0.557843040778196,49
