"Visitor","Visitor.Score","Home.Team","Home.Score"
" Army",14,"Temple",33
" Navy",44,"Toledo",45
" Utah State",45,"New Mexico",10
" Utah",24,"Arizona",35
" Washington State",38,"Oregon",62
" Washington",24,"Arizona State",53
" Wisconsin",56,"Illinois",32
" Louisiana-Lafayette",23,"Arkansas State",7
" Kentucky",22,"Mississippi State",28
" Marshall",49,"Middle Tennessee",51
" Boise State",20,"BYU",37
" Abilene Christian",29,"New Mexico State",34
" UAB",31,"UTSA",52
" Arizona",44,"Colorado",20
" Ball State",42,"Akron",24
" Baylor",59,"Kansas",14
" Boston College",10,"North Carolina",34
" Buffalo",41,"Kent State",21
" Fresno State",35,"San Diego State",28
" California",17,"Washington",41
" UCLA",14,"Oregon",42
" Clemson",40,"Maryland",27
" Colorado State",35,"Hawai'i",28
" Connecticut",17,"UCF",62
" Duke",13,"Virginia Tech",10
" Eastern Michigan",20,"Northern Illinois",59
" Florida Atlantic",10,"Auburn",45
" Furman",16,"LSU",48
" Georgia State",10,"Louisiana-Monroe",38
" Georgia Tech",35,"Virginia",25
" Houston",49,"Rutgers",14
" Idaho",14,"Mississippi",59
" Louisiana Tech",23,"Florida International",7
" Louisville",34,"South Florida",3
" Miami (OH)",16,"Ohio",41
" Michigan State",42,"Illinois",3
" Nebraska",23,"Minnesota",34
" UNLV",27,"Nevada",22
" North Carolina State",17,"Florida State",49
" North Texas",55,"Southern Mississippi",14
" Northwestern",10,"Iowa",17
" Notre Dame",45,"Air Force",10
" Oklahoma State",58,"Iowa State",27
" Penn State",14,"Ohio State",63
" Pittsburgh",21,"Navy",24
" South Alabama",31,"Texas State",33
" South Carolina",27,"Missouri",24
" Stanford",20,"Oregon State",12
" Temple",49,"SMU",59
" Tennessee",10,"Alabama",45
" Texas Tech",30,"Oklahoma",38
" Texas",30,"TCU",7
" UTEP",7,"Rice",45
" Toledo",28,"Bowling Green",25
" Troy",32,"Western Kentucky",26
" Tulsa",7,"Tulane",14
" Utah",3,"USC",19
" Vanderbilt",24,"Texas A&M",56
" Wake Forest",21,"Miami (FL)",24
" West Virginia",12,"Kansas State",35
" Western Michigan",31,"Massachusetts",30
" Wyoming",44,"San Jose State",51
" Cincinnati",34,"Memphis",21
" Arizona State",55,"Washington State",21
" Louisiana-Monroe",49,"Troy",37
" Rice",16,"North Texas",28
" South Florida",23,"Houston",35
" USC",31,"Oregon State",14
" Alabama St.",14,"Kentucky",48
" Arizona",33,"California",28
" Arkansas State",17,"South Alabama",16
" Auburn",35,"Arkansas",17
" Boise State",42,"Colorado State",30
" Clemson",59,"Virginia",10
" Colorado",23,"UCLA",45
" East Carolina",34,"Florida International",13
" Eastern Michigan",16,"Toledo",55
" Georgia",23,"Florida",20
" Hawai'i",10,"Utah State",47
" Illinois",17,"Penn State",24
" Iowa State",7,"Kansas State",41
" Kansas",13,"Texas",35
" Kent State",7,"Akron",16
" Miami (FL)",14,"Florida State",41
" Michigan",6,"Michigan State",29
" Middle Tennessee",24,"UAB",21
" Minnesota",42,"Indiana",39
" Mississippi State",16,"South Carolina",34
" North Carolina",27,"North Carolina State",19
" Nevada",23,"Fresno State",41
" New Mexico State",35,"Louisiana-Lafayette",49
" New Mexico",30,"San Diego State",35
" Northern Illinois",63,"Massachusetts",19
" Northwestern",24,"Nebraska",27
" Ohio State",56,"Purdue",0
" Oklahoma State",52,"Texas Tech",34
" Pittsburgh",10,"Georgia Tech",21
" San Jose State",34,"UNLV",24
" Southern Mississippi",13,"Marshall",61
" Texas State",37,"Idaho",21
" Temple",20,"Rutgers",23
" Tennessee",3,"Missouri",31
" UTEP",7,"Texas A&M",57
" UTSA",34,"Tulsa",15
" Tulane",17,"Florida Atlantic",34
" Army",28,"Air Force",42
" Navy",34,"Notre Dame",38
" Virginia Tech",27,"Boston College",34
" Wake Forest",0,"Syracuse",13
" West Virginia",30,"TCU",27
" Western Kentucky",44,"Georgia State",28
" Wisconsin",28,"Iowa",9
" Bowling Green",45,"Miami (OH)",3
" Ohio",3,"Buffalo",30
" Central Michigan",24,"Ball State",44
" Oklahoma",12,"Baylor",41
" Oregon",20,"Stanford",26
" Troy",36,"Louisiana-Lafayette",41
" Louisville",31,"Connecticut",10
" Air Force",37,"New Mexico",45
" UAB",14,"Marshall",56
" Appalachian State",6,"Georgia",45
" Arizona State",20,"Utah",19
" Arkansas State",42,"Louisiana-Monroe",14
" Arkansas",24,"Mississippi",34
" Auburn",55,"Tennessee",23
" Boston College",48,"New Mexico State",34
" BYU",17,"Wisconsin",27
" Fresno State",48,"Wyoming",10
" UCLA",31,"Arizona",26
" Colorado",7,"Washington",59
" Florida International",0,"Middle Tennessee",48
" Florida State",59,"Wake Forest",3
" Hawai'i",28,"Navy",42
" Houston",14,"UCF",19
" Illinois",35,"Indiana",52
" Iowa",38,"Purdue",14
" Kansas State",49,"Texas Tech",26
" Kansas",6,"Oklahoma State",42
" LSU",17,"Alabama",38
" Mississippi State",41,"Texas A&M",51
" Missouri",48,"Kentucky",17
" Nebraska",17,"Michigan",13
" Nevada",17,"Colorado State",38
" North Carolina State",20,"Duke",38
" Notre Dame",21,"Pittsburgh",28
" Old Dominion",59,"Idaho",38
" Penn State",10,"Minnesota",24
" San Diego State",34,"San Jose State",30
" USC",62,"California",28
" SMU",25,"Cincinnati",28
" Southern Mississippi",13,"Louisiana Tech",36
" Syracuse",20,"Maryland",3
" Tennessee-Martin",6,"Memphis",21
" TCU",21,"Iowa State",17
" Texas",47,"West Virginia",40
" UTEP",7,"North Texas",41
" Tulane",7,"UTSA",10
" Tulsa",24,"East Carolina",58
" Utah State",28,"UNLV",24
" Vanderbilt",34,"Florida",17
" Virginia Tech",42,"Miami (FL)",24
" Virginia",14,"North Carolina",45
" Western Kentucky",21,"Army",17
" Western Michigan",32,"Eastern Michigan",35
" Buffalo",41,"Toledo",51
" Ohio",0,"Bowling Green",49
" Ball State",27,"Northern Illinois",48
" Miami (OH)",6,"Kent State",24
" Georgia Tech",31,"Clemson",55
" Marshall",45,"Tulsa",34
" Washington",31,"UCLA",41
" Akron",14,"Massachusetts",13
" Alabama",20,"Mississippi State",7
" UAB",14,"East Carolina",63
" California",24,"Colorado",41
" UCF",39,"Temple",36
" Central Michigan",27,"Western Michigan",22
" Cincinnati",52,"Rutgers",17
" Colorado State",66,"New Mexico",42
" Connecticut",21,"SMU",38
" Florida Atlantic",41,"Southern Mississippi",7
" Florida International",10,"UTEP",33
" Florida",14,"South Carolina",19
" Georgia",38,"Auburn",43
" Houston",13,"Louisville",20
" Idaho State",13,"BYU",59
" Indiana",3,"Wisconsin",51
" Iowa State",10,"Oklahoma",48
" Kentucky",6,"Vanderbilt",22
" Louisiana Tech",14,"Rice",52
" Maryland",27,"Virginia Tech",24
" Memphis",23,"South Florida",10
" Miami (FL)",30,"Duke",48
" Michigan State",41,"Nebraska",28
" Michigan",27,"Northwestern",19
" North Carolina",34,"Pittsburgh",27
" North Carolina State",21,"Boston College",38
" Ohio State",60,"Illinois",35
" Oklahoma State",38,"Texas",13
" Oregon State",17,"Arizona State",30
" Purdue",21,"Penn State",45
" San Diego State",28,"Hawai'i",21
" San Jose State",16,"Nevada",38
" South Alabama",14,"Navy",42
" Texas State",21,"Arkansas State",38
" Louisiana-Lafayette",35,"Georgia State",21
" Stanford",17,"USC",20
" Syracuse",3,"Florida State",59
" TCU",31,"Kansas State",33
" Texas Tech",34,"Baylor",63
" Troy",21,"Mississippi",51
" Utah",21,"Oregon",44
" Washington State",24,"Arizona",17
" West Virginia",19,"Kansas",31
" Wyoming",7,"Boise State",48
" Buffalo",44,"Miami (OH)",7
" Kent State",44,"Ohio",13
" Northern Illinois",35,"Toledo",17
" UNLV",41,"Air Force",21
" Rice",37,"UAB",34
" Rutgers",17,"UCF",41
" Navy",58,"San Jose State",52
" Alabama A&M",7,"Georgia Tech",66
" Arizona State",38,"UCLA",33
" Baylor",17,"Oklahoma State",49
" Boise State",31,"San Diego State",34
" Boston College",29,"Maryland",26
" Bowling Green",58,"Eastern Michigan",7
" BYU",13,"Notre Dame",23
" California",13,"Stanford",63
" Cincinnati",24,"Houston",17
" Citadel",6,"Clemson",52
" Coastal Carolina",10,"South Carolina",70
" Colorado State",0,"Utah State",13
" Connecticut",28,"Temple",21
" Duke",28,"Wake Forest",21
" East Carolina",42,"North Carolina State",28
" Georgia Southern",26,"Florida",20
" Georgia State",33,"Arkansas State",35
" Hawai'i",56,"Wyoming",59
" Idaho",14,"Florida State",80
" Illinois",20,"Purdue",16
" Indiana",14,"Ohio State",42
" Kansas",0,"Iowa State",34
" Kentucky",17,"Georgia",59
" Marshall",48,"Florida International",10
" Massachusetts",0,"Central Michigan",37
" Memphis",17,"Louisville",24
" Michigan State",30,"Northwestern",6
" Michigan",21,"Iowa",24
" Middle Tennessee",42,"Southern Mississippi",21
" Mississippi State",24,"Arkansas",17
" Missouri",24,"Mississippi",10
" Nebraska",23,"Penn State",20
" New Mexico State",10,"Florida Atlantic",55
" New Mexico",28,"Fresno State",69
" Louisiana-Monroe",14,"South Alabama",36
" Oklahoma",41,"Kansas State",31
" Old Dominion",20,"North Carolina",80
" Oregon",16,"Arizona",42
" Pittsburgh",17,"Syracuse",16
" USC",47,"Colorado",29
" SMU",16,"South Florida",6
" Chattanooga",0,"Alabama",49
" Texas A&M",10,"LSU",34
" UTEP",3,"Tulane",45
" UTSA",21,"North Texas",13
" Tulsa",24,"Louisiana Tech",14
" Utah",37,"Washington State",49
" Vanderbilt",14,"Tennessee",10
" Virginia",26,"Miami (FL)",45
" Washington",69,"Oregon State",27
" Western Kentucky",38,"Texas State",7
" Wisconsin",20,"Minnesota",7
" Western Michigan",14,"Northern Illinois",33
" Mississippi",10,"Mississippi State",17
" Texas Tech",16,"Texas",41
" Arkansas",27,"LSU",31
" Bowling Green",24,"Buffalo",7
" Fresno State",52,"San Jose State",62
" East Carolina",28,"Marshall",59
" Eastern Michigan",10,"Central Michigan",42
" Florida International",6,"Florida Atlantic",21
" Iowa",38,"Nebraska",17
" Massachusetts",23,"Ohio",51
" Miami (OH)",14,"Ball State",55
" Miami (FL)",41,"Pittsburgh",31
" Oregon State",35,"Oregon",36
" South Florida",20,"UCF",23
" SMU",0,"Houston",34
" Texas State",28,"Troy",42
" Toledo",29,"Akron",31
" Washington State",17,"Washington",27
" Alabama",28,"Auburn",34
" Arizona",21,"Arizona State",58
" Arkansas State",31,"Western Kentucky",34
" Baylor",41,"TCU",38
" Boston College",31,"Syracuse",34
" BYU",28,"Nevada",23
" UCLA",35,"USC",14
" Clemson",17,"South Carolina",31
" Colorado",17,"Utah",24
" Duke",27,"North Carolina",25
" Florida State",37,"Florida",7
" Georgia",41,"Georgia Tech",34
" Idaho",16,"New Mexico State",24
" Iowa State",52,"West Virginia",44
" Kansas State",31,"Kansas",10
" Louisiana Tech",10,"UTSA",30
" Maryland",41,"North Carolina State",21
" Minnesota",3,"Michigan State",14
" New Mexico",17,"Boise State",45
" North Texas",42,"Tulsa",10
" Louisiana-Monroe",31,"Louisiana-Lafayette",28
" Northwestern",37,"Illinois",34
" Notre Dame",20,"Stanford",27
" Ohio State",42,"Michigan",41
" Penn State",31,"Wisconsin",24
" Purdue",36,"Indiana",56
" Rutgers",17,"Connecticut",28
" San Diego State",19,"UNLV",45
