Visitor,Visitor Score,Home Team,Home Score
Tulane,,Rutgers,
Northwestern,,Penn State,
Central Michigan,,Toledo,
Vanderbilt,,Kentucky,
Wake Forest,,Louisville,
Colorado State,,Boston College,
Miami (OH),,Buffalo,
Texas State,,Tulsa,
UTEP,,Kansas State,
Louisiana Tech,,Auburn,
Bowling Green,,Massachusetts,
Colorado,,California,
TCU,,SMU,
Rice,,Southern Miss,
Missouri,,South Carolina,
Western Kentucky,,Navy,
Notre Dame,,Syracuse,
Arkansas,,Texas A&M,
Oregon State,,USC,
North Carolina,,Clemson,
Stanford,,Washington,
Texas,,Kansas,
Tennessee,,Georgia,
Duke,,Miami (FL),
Florida State,,North Carolina State,
South Alabama,,Idaho,
Cincinnati,,Ohio State,
Florida International,,UAB,
Memphis,,Ole Miss,
UTSA,,Florida Atlantic,
Troy,,Louisiana-Monroe,
Washington State,,Utah,
Boise State,,Air Force,
New Mexico State,,LSU,
Illinois,,Nebraska,
UNLV,,San Diego State,
Nevada,,San Jose State,
Army,,Yale,
Eastern Illinois,,Ohio,
Florida Atlantic,,Florida International,
UCF,,Houston,
Arizona,,Oregon,
Louisville,,Syracuse,
San Diego State,,Fresno State,
Utah State,,BYU,
Vanderbilt,,Georgia,
Wake Forest,,Florida State,
Miami (FL),,Georgia Tech,
North Texas,,Indiana,
Purdue,,Illinois,
Ohio State,,Maryland,
SMU,,East Carolina,
Memphis,,Cincinnati,
Pittsburgh,,Virginia,
Ohio,,Central Michigan,
Kansas,,West Virginia,
Toledo,,Western Michigan,
Marshall,,Old Dominion,
Virginia Tech,,North Carolina,
Kent State,,Northern Illinois,
Wisconsin,,Northwestern,
Massachusetts,,Miami (OH),
South Alabama,,Appalachian State,
South Carolina,,Kentucky,
Ball State,,Army,
Buffalo,,Bowling Green,
Eastern Michigan,,Akron,
Texas Tech,,Kansas State,
Hawaii,,Rice,
Tulsa,,Colorado State,
Georgia State,,Louisiana-Lafayette,
Stanford,,Notre Dame,
Arizona State,,USC,
LSU,,Auburn,
Navy,,Air Force,
Oklahoma,,TCU,
Florida,,Tennessee,
Baylor,,Texas,
Iowa State,,Oklahoma State,
Alabama,,Ole Miss,
Texas A&M,,Mississippi State,
Utah,,UCLA,
UTEP,,Louisiana Tech,
Southern Miss,,Middle Tennessee,
Oregon State,,Colorado,
California,,Washington State,
Idaho,,Texas State,
Michigan,,Rutgers,
New Mexico,,UTSA,
Louisiana-Monroe,,Arkansas State,
North Carolina State,,Clemson,
UAB,,Western Kentucky,
Nebraska,,Michigan State,
Georgia Southern,,New Mexico State,
UNLV,,San Jose State,
Boise State,,Nevada,
BYU,,UCF,
Washington State,,Stanford,
San Diego State,,New Mexico,
Fresno State,,UNLV,
Texas,,Oklahoma,
Michigan State,,Purdue,
Northwestern,,Minnesota,
Rice,,Army,
Tulsa,,Temple,
Middle Tennessee,,Marshall,
Massachusetts,,Kent State,
Florida State,,Syracuse,
Duke,,Georgia Tech,
Illinois,,Wisconsin,
Boston College,,North Carolina State,
Cincinnati,,Miami (FL),
Buffalo,,Eastern Michigan,
Miami (OH),,Akron,
Indiana,,Iowa,
Bowling Green,,Ohio,
West Virginia,,Texas Tech,
Oklahoma State,,Kansas,
TCU,,Baylor,
Houston,,Memphis,
North Texas,,UAB,
Auburn,,Mississippi State,
Western Michigan,,Ball State,
New Mexico State,,Troy,
Alabama,,Arkansas,
LSU,,Florida,
Toledo,,Iowa State,
Oregon,,UCLA,
USC,,Arizona,
Washington,,California,
Georgia,,Missouri,
Louisville,,Clemson,
North Carolina,,Notre Dame,
Central Michigan,,Northern Illinois,
Idaho,,Georgia Southern,
Arkansas State,,Georgia State,
Florida International,,UTSA,
Louisiana-Monroe,,Kentucky,
Ole Miss,,Texas A&M,
Air Force,,Utah State,
East Carolina,,South Florida,
Penn State,,Michigan,
Old Dominion,,UTEP,
Connecticut,,Tulane,
Colorado State,,Nevada,
Wyoming,,Hawaii,
Charleston Southern,,Vanderbilt,
Virginia Military,,Navy,
Liberty,,Appalachian State,
Chattanooga,,Tennessee,
Louisiana-Lafayette,,Texas State,
Virginia Tech,,Pittsburgh,
Utah,,Oregon State,
Fresno State,,Boise State,
Temple,,Houston,
Marshall,,Florida International,
Syracuse,,Wake Forest,
Miami (OH),,Northern Illinois,
Akron,,Ohio,
Purdue,,Minnesota,
Iowa,,Maryland,
Baylor,,West Virginia,
Virginia,,Duke,
