Visitor,Visitor Score,Home,Home Score
 Kent State,20, Kentucky,56
 Maine,0, Connecticut,38
 Maryland,26, Florida International,10
 Miami (Ohio),35, Minnesota,41
 Miami (Florida),13, Oklahoma,51
 Mississippi State,38, Tulane,17
 Missouri,38, Mississippi,25
 North Carolina,31, East Carolina,34
 Nebraska,20, Wake Forest,17
 Nevada,31, Northwestern,36
 New Mexico State,34, New Mexico,44
 North Carolina State,17, Boston College,37
 North Texas,31, SMU,45
 Louisiana-Monroe,26, Clemson,49
 Northern Arizona,24, Arizona,45
 Northern Iowa,24, Iowa State,13
 Notre Dame,10, Penn State,31
 Ohio,31, Louisiana-Lafayette,23
 Oregon,39, Michigan,7
 Rhode Island,7, Army,14
 Rice,17, Baylor,42
 Samford,14, Georgia Tech,69
 San Diego State,17, Washington State,45
 San Jose State,14, Kansas State,34
 South Carolina,16, Georgia,12
 South Florida,26, Auburn,23
 Southeastern Louisiana,0, Kansas,62
 Southern Illinois,34, Northern Illinois,31
 Southern Mississippi,19, Tennessee,39
 Syracuse,0, Iowa,35
 TCU,13, Texas,34
 UTEP,31, Texas Tech,45
 Toledo,31, Central Michigan,52
 Troy,31, Florida,59
 Air Force,20, Utah,12
 Utah State,18, Wyoming,32
 Virginia Tech,7, LSU,48
 West Virginia,48, Marshall,23
 Western Illinois,0, Illinois,21
 Wisconsin,20, UNLV,13
 TCU,17, Air Force,20
 West Virginia,31, Maryland,14
 Oklahoma State,23, Troy,41
 Akron,24, Indiana,41
 Alcorn St.,0, UAB,22
 Arkansas,38, Alabama,41
 Ball State,34, Navy,31
 Boston College,24, Georgia Tech,10
 BYU,47, Tulsa,55
 Buffalo,24, Penn State,45
 Fresno State,21, Oregon,52
 UCLA,6, Utah,44
 Central Michigan,22, Purdue,45
 Cincinnati,47, Miami (Ohio),10
 Citadel,31, Wisconsin,45
 Delaware State,7, Kent State,38
 Duke,20, Northwestern,14
 Eastern Michigan,21, Northern Illinois,19
 Florida International,9, Miami (Florida),23
 Florida State,16, Colorado,6
 Furman,10, Clemson,38
 Hawai'i,49, UNLV,14
 Houston,34, Tulane,10
 Idaho State,10, Oregon State,61
 Idaho,28, Washington State,45
 Illinois,41, Syracuse,20
 Iowa,13, Iowa State,15
 Jacksonville State,14, Memphis,35
 Louisiana Tech,12, California,42
 Louisville,34, Kentucky,40
 McNeese State,38, Louisiana-Lafayette,17
 Middle Tennessee,0, LSU,44
 Minnesota,39, Florida Atlantic,42
 Mississippi State,19, Auburn,14
 Mississippi,17, Vanderbilt,31
 New Hampshire,48, Marshall,35
 New Mexico,29, Arizona,27
 Nicholls State,17, Nevada,52
 Norfolk State,0, Rutgers,59
 Louisiana-Monroe,14, Texas A&M,54
 Notre Dame,0, Michigan,38
 Ohio State,33, Washington,14
 Ohio,7, Virginia Tech,28
 Pittsburgh,13, Michigan State,17
 San Diego State,13, Arizona State,34
 San Jose State,0, Stanford,37
 South Carolina State,3, South Carolina,38
 USC,49, Nebraska,31
 SMU,28, Arkansas State,45
 Southern Mississippi,28, East Carolina,21
 Missouri State,10, Kansas State,61
 Texas State,27, Baylor,34
 Temple,17, Connecticut,22
 Tennessee,20, Florida,59
 Texas Tech,59, Rice,24
 Texas,35, UCF,32
 UTEP,24, New Mexico State,29
 Toledo,13, Kansas,45
 Army,10, Wake Forest,21
 Utah State,3, Oklahoma,54
 Virginia,22, North Carolina,20
 Western Carolina,16, Georgia,45
 Western Michigan,24, Missouri,52
 Wyoming,14, Boise State,24
 Wofford,17, North Carolina State,38
 Texas A&M,17, Miami (Florida),34
 Western Kentucky,20, Middle Tennessee,17
 Oklahoma,62, Tulsa,21
 Arizona,27, California,45
 Arkansas State,27, Tennessee,48
 Ball State,40, Nebraska,41
 Charleston So.,10, Hawai'i,66
 Baylor,34, Buffalo,21
 Sacramento State,0, New Mexico,58
 Central Conn. St.,14, Western Michigan,51
 Clemson,42, North Carolina State,20
 Colorado State,27, Houston,38
 Connecticut,34, Pittsburgh,14
 Duke,43, Navy,46
 East Carolina,7, West Virginia,48
 Florida Atlantic,30, North Texas,20
 Florida International,3, Kansas,55
 Florida,30, Mississippi,24
 Georgia Tech,23, Virginia,28
 Georgia,26, Alabama,23
 Howard,15, Eastern Michigan,38
 Illinois State,17, Missouri,38
 Illinois,27, Indiana,14
 Iowa State,35, Toledo,36
 Iowa,13, Wisconsin,17
 Kent State,20, Akron,27
 Kentucky,42, Arkansas,29
 Marshall,14, Cincinnati,40
 Maryland,24, Wake Forest,31
 Memphis,20, UCF,56
 Miami (Ohio),0, Colorado,42
 Michigan State,31, Notre Dame,14
 North Carolina,10, South Florida,37
 New Mexico State,20, Auburn,55
 North Dakota State,44, Central Michigan,14
 Northern Illinois,42, Idaho,35
 Northwestern,7, Ohio State,58
 Oregon State,32, Arizona State,44
 Oregon,55, Stanford,31
 Penn State,9, Michigan,14
 Portland State,17, San Diego State,52
 Purdue,45, Minnesota,31
 Rice,14, Texas,58
 San Jose State,23, Utah State,20
 South Carolina,16, LSU,28
 Southeastern Louisiana,27, Tulane,35
 SMU,7, TCU,21
 Syracuse,38, Louisville,35
 Temple,35, Bowling Green,48
 Texas Southern,12, UTEP,52
 Texas Tech,45, Oklahoma State,49
 Troy,48, Louisiana-Lafayette,31
 Air Force,6, BYU,31
 Army,17, Boston College,37
 Utah,0, UNLV,27
 Washington State,14, USC,47
 Washington,31, UCLA,44
 William & Mary,3, Virginia Tech,44
 Wyoming,34, Ohio,33
 Gardner-Webb,15, Mississippi State,31
 Memphis,31, Arkansas State,35
 Southern Mississippi,16, Boise State,38
 West Virginia,13, South Florida,21
 Akron,10, Connecticut,44
 Alabama,14, Florida State,21
 UAB,30, Tulsa,38
 Arizona State,41, Stanford,3
 Auburn,20, Florida,17
 Baylor,10, Texas A&M,34
 BYU,31, New Mexico,24
 Buffalo,14, Ball State,49
 California,31, Oregon,24
 UC Davis,14, San Jose State,34
 UCLA,40, Oregon State,14
 Cincinnati,52, San Diego State,23
 Clemson,3, Georgia Tech,13
 Colorado State,12, TCU,24
 Duke,14, Miami (Florida),24
 East Carolina,37, Houston,35
 Eastern Michigan,7, Vanderbilt,30
 Florida Atlantic,17, Kentucky,45
 Florida International,6, Middle Tennessee,47
 Hawai'i,48, Idaho,20
 Indiana,38, Iowa,20
 Iowa State,17, Nebraska,35
 Kansas State,41, Texas,21
 Kent State,33, Ohio,25
 LSU,34, Tulane,9
 Louisiana Tech,6, Fresno State,17
 Louisville,29, North Carolina State,10
 Maryland,34, Rutgers,24
 Massachusetts,14, Boston College,24
 Michigan State,34, Wisconsin,37
 Michigan,28, Northwestern,16
 Mississippi State,21, South Carolina,38
 Mississippi,17, Georgia,45
 North Carolina,10, Virginia Tech,17
 UNLV,20, Nevada,27
 North Texas,7, Arkansas,66
 Louisiana-Monroe,7, Troy,24
 Northern Illinois,10, Central Michigan,35
 Northwestern State,7, Texas Tech,75
 Notre Dame,19, Purdue,33
 Ohio State,30, Minnesota,7
 Oklahoma,24, Colorado,27
 Penn State,20, Illinois,27
 Pittsburgh,14, Virginia,44
 Sam Houston State,3, Oklahoma State,39
 USC,27, Washington,24
 Louisiana-Lafayette,19, UCF,37
 Syracuse,14, Miami (Ohio),17
 Temple,21, Army,37
 UTEP,48, SMU,45
 Air Force,20, Navy,31
 Utah State,18, Utah,34
 Washington State,20, Arizona,48
 Western Kentucky,21, Bowling Green,41
 Western Michigan,42, Toledo,28
 Ark.-Pine Bluff,17, New Mexico State,20
 Marshall,21, Memphis,24
 Rice,31, Southern Mississippi,29
 Kentucky,23, South Carolina,38
 Utah,44, Louisville,35
 Akron,39, Western Michigan,38
 UAB,13, Mississippi State,30
 Arizona State,23, Washington State,20
 Arizona,16, Oregon State,31
 Arkansas State,13, Louisiana-Monroe,30
 Bowling Green,24, Boston College,55
 Fresno State,49, Nevada,41
 UCF,38, East Carolina,52
 Central Michigan,58, Ball State,38
 Cincinnati,28, Rutgers,23
 Colorado,43, Baylor,23
 Eastern Michigan,22, Michigan,33
 Florida,24, LSU,28
 Georgia Tech,26, Maryland,28
 Georgia,14, Tennessee,35
 Houston,24, Alabama,30
 Idaho,20, San Jose State,28
 Iowa State,17, Texas Tech,42
 Iowa,7, Penn State,27
 Kansas,30, Kansas State,24
 Liberty,34, Toledo,35
 Louisiana Tech,0, Mississippi,24
 Miami (Ohio),20, Kent State,13
 Miami (Florida),27, North Carolina,33
 Minnesota,20, Indiana,40
 Nebraska,6, Missouri,41
 UNLV,14, Air Force,31
 North Carolina State,10, Florida State,27
 North Texas,29, Louisiana-Lafayette,38
 Northern Illinois,15, Temple,16
 Northwestern,48, Michigan State,41
 Notre Dame,20, UCLA,6
 Ohio State,23, Purdue,7
 Ohio,10, Buffalo,31
 Oklahoma State,23, Texas A&M,24
 Oklahoma,28, Texas,21
 San Diego State,24, Colorado State,20
 South Florida,35, Florida Atlantic,23
 Stanford,24, USC,23
 Chattanooga,15, Arkansas,34
 TCU,21, Wyoming,24
 Troy,34, Florida International,16
 Tulane,17, Army,20
 Tulsa,47, UTEP,48
 Utah State,37, Hawai'i,52
 Vanderbilt,7, Auburn,35
 Virginia Tech,41, Clemson,23
 Virginia,23, Middle Tennessee,21
 Wake Forest,41, Duke,36
 West Virginia,55, Syracuse,14
 Wisconsin,26, Illinois,31
 New Mexico State,0, Boise State,58
 Navy,48, Pittsburgh,45
 Florida State,21, Wake Forest,24
 Hawai'i,42, San Jose State,35
 Alabama,27, Mississippi,24
 Arizona,13, USC,20
 Auburn,9, Arkansas,7
 Baylor,10, Kansas,58
 Boston College,27, Notre Dame,14
 Bowling Green,14, Miami (Ohio),47
 BYU,24, UNLV,14
 Fresno State,37, Idaho,24
 UCF,12, South Florida,64
 Colorado,20, Kansas State,47
 Connecticut,16, Virginia,17
 East Carolina,45, UTEP,42
 Eastern Michigan,42, Ohio,48
 Georgia Tech,17, Miami (Florida),14
 Georgia,20, Vanderbilt,17
 Illinois,6, Iowa,10
 Indiana,27, Michigan State,52
 Kent State,3, Ohio State,48
 LSU,37, Kentucky,43
 Louisville,28, Cincinnati,24
 Marshall,31, Tulsa,38
 Middle Tennessee,21, Memphis,7
 Minnesota,48, Northwestern,49
 Missouri,31, Oklahoma,41
 New Mexico State,21, Louisiana Tech,22
 New Mexico,20, Wyoming,3
 Louisiana-Monroe,21, North Texas,31
 Oklahoma State,45, Nebraska,14
 Oregon State,31, California,28
 Purdue,21, Michigan,48
 Rice,48, Houston,56
 Rutgers,38, Syracuse,14
 San Diego State,7, Utah,23
 South Carolina,21, North Carolina,15
 SMU,7, Southern Mississippi,28
 Louisiana-Lafayette,21, Arkansas State,52
 Temple,24, Akron,20
 Tennessee,33, Mississippi State,21
 Texas A&M,7, Texas Tech,35
 TCU,38, Stanford,36
 Texas,56, Iowa State,3
 Toledo,33, Buffalo,43
 Tulane,21, UAB,26
 Air Force,45, Colorado State,21
 Army,23, Central Michigan,47
 Virginia Tech,43, Duke,14
 Washington State,7, Oregon,53
 Washington,20, Arizona State,44
 Western Kentucky,12, Ball State,35
 Western Michigan,17, Northern Illinois,13
 Wisconsin,7, Penn State,38
 Nevada,67, Boise State,69
 South Florida,27, Rutgers,30
 Utah,27, TCU,20
 Louisville,17, Connecticut,21
 Northwestern,26, Eastern Michigan,14
 Arkansas State,7, Middle Tennessee,24
 Arkansas,44, Mississippi,8
 Auburn,24, LSU,30
 Ball State,27, Western Michigan,23
 Boise State,45, Louisiana Tech,31
 Bowling Green,31, Kent State,20
 Buffalo,12, Syracuse,20
 California,21, UCLA,30
 Central Michigan,14, Clemson,70
 Cincinnati,17, Pittsburgh,24
 Colorado State,48, UNLV,23
 Eastern Washington,7, BYU,42
 Florida Atlantic,39, Louisiana-Lafayette,32
 Florida International,14, Louisiana-Monroe,28
 Florida,45, Kentucky,37
 Houston,49, UAB,10
 Idaho,31, New Mexico State,45
 Iowa,6, Purdue,31
 Kansas State,39, Oklahoma State,41
 Kansas,19, Colorado,14
 Memphis,38, Rice,35
 Miami (Ohio),17, Temple,24
 Miami (Florida),37, Florida State,29
 Michigan State,17, Ohio State,24
 Michigan,27, Illinois,17
 Mississippi State,13, West Virginia,38
 Nevada,31, Utah State,28
 New Mexico,20, San Diego State,17
 North Carolina State,34, East Carolina,20
 North Dakota State,27, Minnesota,21
 North Texas,7, Troy,45
 Northern Illinois,3, Wisconsin,44
 Ohio,40, Toledo,43
 Oklahoma,17, Iowa State,7
 Oregon,55, Washington,34
 Penn State,36, Indiana,31
 San Jose State,0, Fresno State,30
 USC,38, Notre Dame,0
 Stanford,21, Arizona,20
 Tennessee,17, Alabama,41
 Texas A&M,36, Nebraska,14
 Texas Tech,10, Missouri,41
 Texas,31, Baylor,10
 Tulane,41, SMU,34
 Tulsa,23, UCF,44
 Army,10, Georgia Tech,34
 Vanderbilt,17, South Carolina,6
 Virginia,18, Maryland,17
 Wake Forest,44, Navy,24
 Wyoming,12, Air Force,20
 Southern Mississippi,33, Marshall,24
 Boston College,14, Virginia Tech,10
 Air Force,31, New Mexico,34
 Boise State,34, Fresno State,21
 Akron,10, Buffalo,26
 UAB,6, East Carolina,41
 Arizona,48, Washington,41
 Ball State,17, Illinois,28
 Baylor,13, Kansas State,51
 California,20, Arizona State,31
 UCLA,7, Washington State,27
 Central Michigan,41, Kent State,32
 Clemson,30, Maryland,17
 Colorado,31, Texas Tech,26
 Delaware,59, Navy,52
 Duke,6, Florida State,25
 Florida International,10, Arkansas,58
 Georgia,42, Florida,30
 Houston,34, UTEP,31
 Idaho,21, Nevada,37
 Indiana,3, Wisconsin,33
 Iowa State,28, Missouri,42
 Kansas,19, Texas A&M,11
 Louisiana Tech,31, Utah State,21
 Memphis,28, Tulane,27
 Miami (Ohio),13, Vanderbilt,24
 Michigan State,27, Iowa,34
 Middle Tennessee,48, North Texas,28
 Minnesota,10, Michigan,34
 Mississippi State,31, Kentucky,14
 Mississippi,3, Auburn,17
 North Carolina,10, Wake Forest,37
 Nebraska,25, Texas,28
 UNLV,24, Wyoming,29
 New Mexico State,13, Hawai'i,50
 Louisiana-Monroe,33, Florida Atlantic,30
 Northern Illinois,21, Toledo,70
 Northwestern,17, Purdue,35
 Ohio State,37, Penn State,17
 Ohio,38, Bowling Green,27
 Pittsburgh,17, Louisville,24
 Rice,21, Marshall,34
 South Carolina,24, Tennessee,27
 South Florida,15, Connecticut,22
 USC,17, Oregon,24
 SMU,23, Tulsa,29
 Stanford,6, Oregon State,23
 Troy,27, Arkansas State,0
 Utah,27, Colorado State,3
 Virginia,24, North Carolina State,29
 West Virginia,31, Rutgers,3
 Western Michigan,2, Eastern Michigan,19
 UCF,34, Southern Mississippi,17
 Virginia Tech,27, Georgia Tech,3
 Akron,20, Bowling Green,44
 Nevada,40, New Mexico State,38
 Temple,7, Ohio,23
 Arizona State,23, Oregon,35
 Ball State,20, Indiana,38
 Buffalo,28, Miami (Ohio),31
 UCLA,27, Arizona,34
 Cincinnati,38, South Florida,33
 Clemson,47, Duke,10
 Colorado State,16, BYU,35
 East Carolina,56, Memphis,40
 Eastern Michigan,28, Toledo,52
 Florida International,24, Arkansas State,27
 Florida State,27, Boston College,17
 Illinois,44, Minnesota,17
 Iowa,28, Northwestern,17
 Kansas State,20, Iowa State,31
 LSU,41, Alabama,34
 Louisiana Tech,28, Idaho,16
 Marshall,13, UCF,47
 Maryland,13, North Carolina,16
 Michigan,28, Michigan State,24
 Middle Tennessee,43, Louisiana-Monroe,40
 Missouri,55, Colorado,10
 Nebraska,39, Kansas,76
 New Mexico,0, TCU,37
 North Carolina State,19, Miami (Florida),16
 Northwestern State,31, Mississippi,38
 Oregon State,3, USC,24
 Purdue,19, Penn State,26
 Rutgers,19, Connecticut,38
 San Jose State,7, Boise State,42
 South Carolina,36, Arkansas,48
 Southern Mississippi,37, UAB,7
 Louisiana-Lafayette,7, Tennessee,59
 Syracuse,17, Pittsburgh,20
 Tennessee Tech,3, Auburn,35
 Texas A&M,14, Oklahoma,42
 Texas Tech,38, Baylor,7
 Texas,38, Oklahoma State,35
 UTEP,48, Rice,56
 Troy,34, Georgia,44
 Tulsa,49, Tulane,25
 Army,10, Air Force,30
 Navy,46, Notre Dame,44
 Utah State,27, Fresno State,38
 Vanderbilt,22, Florida,49
 Wake Forest,16, Virginia,17
 Washington State,17, California,20
 Washington,27, Stanford,9
 Wisconsin,17, Ohio State,38
 Wyoming,24, San Diego State,27
 SMU,28, Houston,38
 Central Michigan,34, Western Michigan,31
 Ohio,37, Akron,48
 Louisville,31, West Virginia,38
 TCU,22, BYU,27
 Bowling Green,39, Eastern Michigan,32
 Rutgers,41, Army,6
 Alabama,12, Mississippi State,17
 Arizona State,24, UCLA,20
 Arkansas State,31, Florida Atlantic,34
 Arkansas,13, Tennessee,34
 Auburn,20, Georgia,45
 Baylor,21, Oklahoma,52
 Boise State,52, Utah State,0
 Boston College,35, Maryland,42
 Fresno State,30, Hawai'i,37
 UCF,45, UAB,31
 Colorado State,23, New Mexico,26
 Colorado,28, Iowa State,31
 Connecticut,3, Cincinnati,27
 East Carolina,7, Marshall,26
 Florida State,21, Virginia Tech,40
 Florida,51, South Carolina,31
 Georgia Tech,41, Duke,24
 Grambling,14, Louisiana-Monroe,28
 Houston,7, Tulsa,56
 Illinois,28, Ohio State,21
 Indiana,28, Northwestern,31
 Kansas State,31, Nebraska,73
 Kansas,43, Oklahoma State,28
 Kent State,20, Northern Illinois,27
 Kentucky,27, Vanderbilt,20
 Louisiana Tech,10, LSU,58
 Memphis,29, Southern Mississippi,26
 Michigan State,48, Purdue,31
 Michigan,21, Wisconsin,37
 Minnesota,16, Iowa,21
 North Carolina,27, North Carolina State,31
 New Mexico State,17, San Jose State,51
 Penn State,31, Temple,0
 Rice,43, SMU,42
 San Diego State,38, UNLV,30
 South Florida,41, Syracuse,10
 USC,24, California,17
 Louisiana-Lafayette,34, Middle Tennessee,24
 Stanford,17, Washington State,33
 Texas A&M,26, Missouri,40
 Texas Tech,43, Texas,59
 UTEP,19, Tulane,34
 Troy,21, Western Kentucky,17
 Air Force,41, Notre Dame,24
 Navy,74, North Texas,62
 Virginia,48, Miami (Florida),0
 Wake Forest,10, Clemson,44
 Washington,23, Oregon State,29
 Wyoming,0, Utah,50
 Toledo,20, Ball State,41
 Akron,0, Miami (Ohio),7
 North Texas,27, Arkansas State,31
 Oregon,24, Arizona,34
 Eastern Michigan,48, Central Michigan,45
 Hawai'i,28, Nevada,26
 UAB,9, Memphis,25
 Boston College,20, Clemson,17
 Bowling Green,31, Buffalo,17
 BYU,35, Wyoming,10
 California,23, Washington,37
 UCF,49, SMU,20
 Duke,7, Notre Dame,28
 Florida Atlantic,20, Florida,59
 Georgia Southern,34, Colorado State,42
 Idaho,14, Boise State,58
 Iowa State,7, Kansas,45
 Kent State,14, Temple,24
 Kentucky,13, Georgia,24
 LSU,41, Mississippi,24
 Louisville,17, South Florida,55
 Marshall,28, Houston,35
 Maryland,16, Florida State,24
 Miami (Florida),14, Virginia Tech,44
 Mississippi State,31, Arkansas,45
 Missouri,49, Kansas State,32
 North Carolina,25, Georgia Tech,27
 UNLV,10, TCU,34
 New Mexico,10, Utah,28
 North Carolina State,18, Wake Forest,38
 Louisiana-Monroe,21, Alabama,14
 Northern Illinois,24, Navy,35
 Northwestern,22, Illinois,41
 Ohio State,14, Michigan,3
 Oklahoma State,45, Baylor,14
 Oklahoma,27, Texas Tech,34
 Oregon State,52, Washington State,17
 Penn State,31, Michigan State,35
 Pittsburgh,16, Rutgers,20
 Purdue,24, Indiana,27
 San Diego State,23, Air Force,55
 San Jose State,23, Louisiana Tech,27
 Southern Mississippi,56, UTEP,30
 Louisiana-Lafayette,38, Florida International,28
 Syracuse,7, Connecticut,30
 Tulane,45, Rice,31
 Tulsa,49, Army,39
 Utah State,35, New Mexico State,17
 Vanderbilt,24, Tennessee,25
 West Virginia,28, Cincinnati,23
 Western Michigan,28, Iowa,19
 Wisconsin,41, Minnesota,34
 Middle Tennessee,7, Troy,45
 USC,44, Arizona State,24
 Arkansas,50, LSU,48
 Boise State,27, Hawai'i,39
 Central Michigan,35, Akron,32
 Mississippi,14, Mississippi State,17
 Nebraska,51, Colorado,65
 Texas,30, Texas A&M,38
 Toledo,10, Bowling Green,37
 Wyoming,28, Colorado State,36
 Alabama,10, Auburn,17
 UAB,39, Marshall,46
 Arkansas State,10, Southern Mississippi,16
 Ball State,27, Northern Illinois,21
 Buffalo,30, Kent State,23
 Cincinnati,52, Syracuse,31
 Clemson,23, South Carolina,21
 Connecticut,21, West Virginia,66
 Duke,14, North Carolina,20
 Florida Atlantic,55, Florida International,23
 Florida State,12, Florida,45
 Georgia,31, Georgia Tech,17
 Kansas State,29, Fresno State,45
 Maryland,37, North Carolina State,0
 Miami (Ohio),29, Ohio,38
 Miami (Florida),14, Boston College,28
 Missouri,36, Kansas,28
 UNLV,6, New Mexico,27
 Nevada,24, San Jose State,27
 Louisiana-Monroe,17, Louisiana-Lafayette,11
 Notre Dame,21, Stanford,14
 Oklahoma State,17, Oklahoma,49
 Oregon,0, UCLA,16
 South Florida,48, Pittsburgh,37
 SMU,52, Memphis,55
 Temple,3, Western Michigan,16
 Tennessee,52, Kentucky,50
 TCU,45, San Diego State,33
 Texas Southern,6, Houston,59
 UTEP,20, UCF,36
 Tulane,12, East Carolina,35
 Tulsa,48, Rice,43
 Utah State,24, Idaho,19
 Utah,10, BYU,17
 Virginia Tech,33, Virginia,21
 Wake Forest,31, Vanderbilt,17
 Washington State,42, Washington,35
 Western Kentucky,26, North Texas,27
 Rutgers,38, Louisville,41
 Fresno State,30, New Mexico State,23
 Arizona,17, Arizona State,20
 BYU,48, San Diego State,27
 California,13, Stanford,20
 UCLA,7, USC,24
 Florida Atlantic,38, Troy,32
 Louisiana Tech,10, Nevada,49
 Miami (Ohio),10, Central Michigan,35
 North Texas,19, Florida International,38
 Oklahoma,38, Missouri,17
 Oregon State,38, Oregon,31
 Pittsburgh,13, West Virginia,9
 Tennessee,14, LSU,21
 Tulsa,25, UCF,44
 Army,3, Navy,38
 Virginia Tech,30, Boston College,16
 Washington,28, Hawai'i,35
 Utah,35, Navy,32
 Memphis,27, Florida Atlantic,44
 UCLA,16, BYU,17
 Nevada,0, New Mexico,23
 Southern Mississippi,21, Cincinnati,31
 Boise State,38, East Carolina,41
 Purdue,51, Central Michigan,48
 Arizona State,34, Texas,52
 Boston College,24, Michigan State,21
 Houston,13, TCU,20
 Maryland,14, Oregon State,21
 UCF,3, Mississippi State,10
 Connecticut,10, Wake Forest,24
 Penn State,24, Texas A&M,17
 Alabama,30, Colorado,24
 California,42, Air Force,36
 Clemson,20, Auburn,23
 Georgia Tech,28, Fresno State,40
 Indiana,33, Oklahoma State,49
 Kentucky,35, Florida State,28
 South Florida,21, Oregon,56
 Hawai'i,10, Georgia,41
 Illinois,17, USC,49
 Michigan,41, Florida,35
 Missouri,38, Arkansas,7
 Texas Tech,31, Virginia,28
 Wisconsin,17, Tennessee,21
 West Virginia,48, Oklahoma,28
 Kansas,24, Virginia Tech,21
 Rutgers,52, Ball State,30
 Bowling Green,7, Tulsa,63
 LSU,38, Ohio State,24
