TEAM,CONF W,CONF L,OVERALL W,OVERALL L
Robert Morris,3,3,4,6
St Francis (PA),1,4,3,7
Sacred Heart,0,6,3,8
Eastern Kentucky,7,0,9,3
Eastern Illinois,7,1,8,4
Jacksonville State,5,3,6,5
Tennessee-Martin,4,3,4,7
Tennessee State,3,3,5,6
Austin Peay,1,1,7,4
Tennessee Tech,2,5,4,7
Samford,2,5,4,7
Southeast Missouri State,1,5,3,8
Murray State,1,7,2,9
Fordham,5,1,8,4
Holy Cross,4,2,7,4
Lafayette,4,2,7,4
Colgate,4,2,7,4
Lehigh,2,4,5,6
Bucknell,1,5,3,8
Georgetown,1,5,1,10
Dayton,6,1,11,1
San Diego,6,1,9,2
Morehead State,5,2,7,4
Davidson,4,3,6,4
Drake,3,4,6,5
Valparaiso,2,5,5,6
Jacksonville,2,5,3,8
Butler,0,7,4,7
Appalachian State,5,2,13,2
Wofford,5,2,9,4
Georgia Southern,4,3,7,4
Elon,4,3,7,4
The Citadel,4,3,7,4
Furman,4,3,6,5
Chattanooga,2,5,2,9
Western Carolina,0,7,1,10
McNeese State,7,0,11,1
Sam Houston State,5,2,7,4
Central Arkansas,5,2,6,5
Nicholls State,3,4,6,5
Texas State,3,4,4,7
Northwestern State,3,4,4,7
Southeastern Louisiana,2,5,3,8
Stephen F Austin,0,7,0,11
Jackson State,7,2,8,4
Alabama A&M,6,3,8,3
Alabama State,4,5,5,6
Mississippi Valley State,2,7,3,8
Alcorn State,2,7,2,8
Grambling State,8,1,8,4
Southern,6,3,8,3
Prairie View A&M,6,3,7,3
Arkansas-Pine Bluff,4,5,4,7
Texas Southern,0,9,0,11
